LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1670855238.147871,1252597.000,6128,2,EA,1,100,0.030319
1670855238.212883,1252660.000,6145,1,EA,1,100,0.030319
1670855238.280991,1252726.000,6164,2,EA,1,100,0.030319
1670855238.349099,1252792.000,6164,2,EA,1,100,0.030320
1670855238.415660,1252856.500,6182,2,EA,1,100,0.030319
1670855238.482220,1252921.000,6182,2,EA,1,100,0.030320
1670855238.548264,1252985.000,6197,2,EA,1,100,0.030319
1670855238.614308,1253049.000,6197,2,EA,1,100,0.030320
1670855238.682416,1253115.000,6214,1,EA,1,100,0.030320
1670855238.748461,1253179.000,6233,2,EA,1,100,0.030320
1670855238.814505,1253243.000,6233,2,EA,1,100,0.030320
1670855238.881581,1253308.000,6250,1,EA,1,100,0.030320
1670855238.949689,1253374.000,6264,2,EA,1,100,0.030320
1670855239.017797,1253440.000,6264,2,EA,1,100,0.030320
1670855239.084874,1253505.000,6282,1,EA,1,100,0.030320
1670855239.151434,1253569.500,6301,2,EA,1,100,0.030320
1670855239.217994,1253634.000,6301,2,EA,1,100,0.030320
1670855239.284038,1253698.000,6318,1,EA,1,100,0.030320
1670855239.350599,1253762.500,6334,2,EA,1,100,0.030320
1670855239.417159,1253827.000,6334,2,EA,1,100,0.030320
1670855239.482171,1253890.000,6350,2,EA,1,100,0.030320
1670855239.547183,1253953.000,6350,2,EA,1,100,0.030320
1670855239.615292,1254019.000,6366,1,EA,1,100,0.030320
1670855239.682368,1254084.000,6384,2,EA,1,100,0.030320
1670855239.749444,1254149.000,6384,2,EA,1,100,0.030320
1670855239.817552,1254215.000,6402,1,EA,1,100,0.030320
1670855239.884112,1254279.500,6417,2,EA,1,100,0.030320
1670855239.950672,1254344.000,6417,2,EA,1,100,0.030320
1670855240.017749,1254409.000,6433,1,EA,1,100,0.030320
1670855240.082761,1254472.000,6451,2,EA,1,100,0.030320
