LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1670855392.717216,1402382,30783,8,LM,1,100,1237567.1658841,1237567.1659218,1237567.1981580,World,
1670855394.287832,1403904,31035,8,LM,1,100,1237568.6999733,1237568.7000110,1237568.7160316,Hello,
1670855395.766603,1405337,31271,8,LM,1,100,1237570.2344248,1237570.2344439,1237570.2503721,World,
1670855397.324835,1406847,31527,8,LM,1,100,1237571.7689977,1237571.7690208,1237571.7843046,Hello,
1670855398.881003,1408355,31781,8,LM,1,100,1237573.3028788,1237573.3029052,1237573.3189442,World,
1670855400.591962,1410013,32049,8,LM,1,100,1237574.8372261,1237574.8372526,1237574.9217911,Hello,
1670855401.929358,1411309,32266,8,LM,1,100,1237576.3735587,1237576.3735765,1237576.4087809,World,
1670855403.498940,1412830,32507,8,LM,1,100,1237577.9068907,1237577.9069182,1237577.9221346,Hello,
1670855405.030342,1414314,32760,8,LM,1,100,1237579.4416629,1237579.4416823,1237579.4596444,World,
1670855406.501890,1415740,32996,8,LM,1,100,1237580.9771891,1237580.9772058,1237580.9926600,Hello,
1670855408.057026,1417247,33235,8,LM,1,100,1237582.5122162,1237582.5122329,1237582.5422072,World,
1670855409.625577,1418767,33488,8,LM,1,100,1237584.0432949,1237584.0433170,1237584.0756117,Hello,
1670855411.204447,1420297,33739,8,LM,1,100,1237585.5767541,1237585.5767835,1237585.6102038,World,
1670855412.655357,1421703,33976,8,LM,1,100,1237587.1129598,1237587.1129763,1237587.1289900,Hello,
1670855414.205333,1423205,34216,8,LM,1,100,1237588.6473531,1237588.6473696,1237588.6794327,World,
1670855415.751181,1424703,34466,8,LM,1,100,1237590.1816257,1237590.1816392,1237590.2171347,Hello,
1670855417.242337,1426148,34702,8,LM,1,100,1237591.7155322,1237591.7155414,1237591.7311920,World,
1670855418.869708,1427725,34958,8,LM,1,100,1237593.2485875,1237593.2485962,1237593.2735829,Hello,
1670855420.335065,1429145,35192,8,LM,1,100,1237594.7849713,1237594.7849800,1237594.8158916,World,
1670855421.871626,1430634,35443,8,LM,1,100,1237596.3246303,1237596.3246130,1237596.3375062,Hello,
1670855423.473199,1432186,35694,8,LM,1,100,1237597.8544076,1237597.8544173,1237597.9535086,World,
1670855424.916885,1433585,35922,8,LM,1,100,1237599.3881232,1237599.3881238,1237599.4038218,Hello,
1670855426.466861,1435087,36159,8,LM,1,100,1237600.9236702,1237600.9237183,1237600.9543378,World,
1670855428.049859,1436621,36410,8,LM,1,100,1237602.4560502,1237602.4560983,1237602.4881249,Hello,
1670855429.555461,1438080,36654,8,LM,1,100,1237603.9913718,1237603.9913964,1237604.0225736,World,
1670855431.067256,1439545,36889,8,LM,1,100,1237605.5246234,1237605.5246217,1237605.5407691,Hello,
1670855432.602784,1441033,37142,8,LM,1,100,1237607.0611553,1237607.0611752,1237607.0785291,World,
1670855434.285881,1442664,37398,8,LM,1,100,1237608.5959060,1237608.5959258,1237608.6108135,Hello,
1670855435.667650,1444003,37620,8,LM,1,100,1237610.1292779,1237610.1292801,1237610.1472519,World,
1670855437.287799,1445573,37886,8,LM,1,100,1237611.6621350,1237611.6621558,1237611.6942869,Hello,
1670855438.744900,1446985,38122,8,LM,1,100,1237613.2035155,1237613.2035396,1237613.2164123,World,
1670855440.370208,1448560,38362,8,LM,1,100,1237614.7322015,1237614.7322256,1237614.7630684,Hello,
1670855441.833500,1449978,38599,8,LM,1,100,1237616.2695705,1237616.2695841,1237616.2996525,World,
1670855443.393796,1451490,38850,8,LM,1,100,1237617.8076271,1237617.8076406,1237617.8188332,Hello,
1670855444.976794,1453024,39092,8,LM,1,100,1237619.3334246,1237619.3334460,1237619.3428146,World,
1670855446.502003,1454502,39345,8,LM,1,100,1237620.8688491,1237620.8688705,1237620.8846783,Hello,
1670855447.963233,1455918,39579,8,LM,1,100,1237622.4031431,1237622.4031631,1237622.4194394,World,
1670855449.577189,1457482,39833,8,LM,1,100,1237623.9378774,1237623.9379056,1237623.9728919,Hello,
1670855451.070408,1458929,40074,8,LM,1,100,1237625.4728360,1237625.4728763,1237625.5036005,World,
1670855452.637927,1460448,40325,8,LM,1,100,1237627.0064583,1237627.0064612,1237627.0383805,Hello,
