LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1671015055.729443,68780,9408,8,LM,1,100,1397292.7840509,1397292.7840845,1397292.7867596,sync_event,
1671015056.146507,69184,9479,8,LM,1,100,1397293.2846755,1397293.2847091,1397293.2868569,sync_event,
1671015056.610027,69633,9549,8,LM,1,100,1397293.7854177,1397293.7854513,1397293.7875267,sync_event,
1671015057.116904,70124,9636,8,LM,1,100,1397294.2856372,1397294.2856504,1397294.2875607,sync_event,
1671015057.745597,70733,9730,8,LM,1,100,1397294.7856408,1397294.7856540,1397294.8151003,sync_event,
1671015058.150274,71125,9801,8,LM,1,100,1397295.2860901,1397295.2861033,1397295.3056092,sync_event,
1671015058.646827,71606,9885,8,LM,1,100,1397295.7868035,1397295.7868167,1397295.8052110,sync_event,
1671015059.171255,72114,9973,8,LM,1,100,1397296.2869904,1397296.2870145,1397296.3059664,sync_event,
1671015059.690520,72617,10061,8,LM,1,100,1397296.7874147,1397296.7874388,1397296.8064520,sync_event,
1671015060.130296,73043,10132,8,LM,1,100,1397297.2879127,1397297.2879368,1397297.3062930,sync_event,
1671015060.749698,73643,10234,8,LM,1,100,1397297.7884227,1397297.7884468,1397297.8072455,sync_event,
1671015061.157471,74038,10304,8,LM,1,100,1397298.2894028,1397298.2894556,1397298.3071034,sync_event,
1671015061.682931,74547,10389,8,LM,1,100,1397298.7901290,1397298.7901817,1397298.7955689,sync_event,
1671015062.238328,75085,10477,8,LM,1,100,1397299.2903509,1397299.2904036,1397299.3596042,sync_event,
1671015062.635778,75470,10546,8,LM,1,100,1397299.7911036,1397299.7911564,1397299.8083186,sync_event,
1671015063.161237,75979,10639,8,LM,1,100,1397300.2920310,1397300.2920440,1397300.3083439,sync_event,
1671015063.735217,76535,10726,8,LM,1,100,1397300.7924244,1397300.7924374,1397300.8090457,sync_event,
1671015064.162604,76949,10797,8,LM,1,100,1397301.2929216,1397301.2929346,1397301.3090572,sync_event,
1671015064.742778,77511,10900,8,LM,1,100,1397301.7931784,1397301.7931914,1397301.8097766,sync_event,
1671015065.156745,77912,10970,8,LM,1,100,1397302.2939883,1397302.2939823,1397302.3116436,sync_event,
1671015065.631620,78372,11039,8,LM,1,100,1397302.7946269,1397302.7946209,1397302.8111169,sync_event,
1671015066.241731,78963,11142,8,LM,1,100,1397303.2951060,1397303.2951000,1397303.3315308,sync_event,
1671015066.635051,79344,11210,8,LM,1,100,1397303.7956507,1397303.7956447,1397303.8110931,sync_event,
1671015067.156382,79849,11298,8,LM,1,100,1397304.2961945,1397304.2962484,1397304.3116122,sync_event,
1671015067.680809,80357,11382,8,LM,1,100,1397304.7962880,1397304.7963419,1397304.8125078,sync_event,
1671015068.210398,80870,11472,8,LM,1,100,1397305.2968609,1397305.2969148,1397305.3284986,sync_event,
1671015068.654303,81300,11545,8,LM,1,100,1397305.7977043,1397305.7977582,1397305.8291484,sync_event,
1671015069.197312,81826,11635,8,LM,1,100,1397306.2979216,1397306.2979494,1397306.3127851,sync_event,
1671015069.722772,82335,11723,8,LM,1,100,1397306.7988778,1397306.7989056,1397306.8296320,sync_event,
1671015070.139836,82739,11794,8,LM,1,100,1397307.2997130,1397307.2997408,1397307.3141250,sync_event,
1671015070.642584,83226,11879,8,LM,1,100,1397307.7999069,1397307.7999347,1397307.8139176,sync_event,
1671015071.162882,83730,11966,8,LM,1,100,1397308.3000189,1397308.3000368,1397308.3318597,sync_event,
1671015071.674921,84226,12052,8,LM,1,100,1397308.8003171,1397308.8003350,1397308.8143499,sync_event,
1671015072.195219,84730,12142,8,LM,1,100,1397309.3013094,1397309.3013273,1397309.3331816,sync_event,
1671015072.658738,85179,12210,8,LM,1,100,1397309.8021317,1397309.8021496,1397309.8318783,sync_event,
1671015073.181101,85685,12300,8,LM,1,100,1397310.3025156,1397310.3025117,1397310.3318368,sync_event,
1671015073.717916,86205,12393,8,LM,1,100,1397310.8031270,1397310.8031231,1397310.8552567,sync_event,
1671015074.139109,86613,12464,8,LM,1,100,1397311.3033842,1397311.3033803,1397311.3161281,sync_event,
1671015074.644955,87103,12549,8,LM,1,100,1397311.8044475,1397311.8044436,1397311.8166249,sync_event,
1671015075.264357,87703,12656,8,LM,1,100,1397312.3053697,1397312.3054013,1397312.3339289,sync_event,
1671015075.783622,88206,12744,8,LM,1,100,1397312.8061192,1397312.8061508,1397312.8335539,sync_event,
1671015076.527937,88927,12864,8,LM,1,100,1397313.3063540,1397313.3063857,1397313.3340650,sync_event,
1671015076.653883,89049,12884,8,LM,1,100,1397313.8072918,1397313.8073235,1397313.8345285,sync_event,
1671015077.195859,89574,12974,8,LM,1,100,1397314.3079559,1397314.3079826,1397314.3186633,sync_event,
1671015077.697575,90060,13060,8,LM,1,100,1397314.8089157,1397314.8089424,1397314.8544900,sync_event,
1671015078.206517,90553,13147,8,LM,1,100,1397315.3097986,1397315.3098253,1397315.3352153,sync_event,
1671015078.675198,91007,13218,8,LM,1,100,1397315.8100776,1397315.8101043,1397315.8359323,sync_event,
1671015079.231628,91546,13297,8,LM,1,100,1397316.3107767,1397316.3107806,1397316.3361407,sync_event,
1671015079.645595,91947,13367,8,LM,1,100,1397316.8113494,1397316.8113533,1397316.8196890,sync_event,
1671015080.172087,92457,13457,8,LM,1,100,1397317.3122230,1397317.3122269,1397317.3366390,sync_event,
1671015080.700644,92969,13541,8,LM,1,100,1397317.8125144,1397317.8125183,1397317.8206688,sync_event,
1671015081.188939,93442,13632,8,LM,1,100,1397318.3134399,1397318.3134483,1397318.3218803,sync_event,
1671015081.719560,93956,13720,8,LM,1,100,1397318.8133370,1397318.8133454,1397318.8520899,sync_event,
1671015082.233664,94454,13808,8,LM,1,100,1397319.3136794,1397319.3136878,1397319.3385057,sync_event,
1671015082.665181,94872,13881,8,LM,1,100,1397319.8144905,1397319.8144989,1397319.8386710,sync_event,
1671015083.259807,95448,13986,8,LM,1,100,1397320.3153674,1397320.3153874,1397320.3389409,sync_event,
1671015083.737779,95911,14057,8,LM,1,100,1397320.8161572,1397320.8161772,1397320.8397396,sync_event,
1671015084.167231,96327,14133,8,LM,1,100,1397321.3163694,1397321.3163894,1397321.3393772,sync_event,
1671015084.664818,96809,14219,8,LM,1,100,1397321.8165226,1397321.8165426,1397321.8397976,sync_event,
1671015085.495849,97614,14359,8,LM,1,100,1397322.3173486,1397322.3173916,1397322.3403571,sync_event,
1671015085.745675,97856,14396,8,LM,1,100,1397322.8180789,1397322.8181219,1397322.8308505,sync_event,
1671015086.284555,98378,14487,8,LM,1,100,1397323.3189484,1397323.3189914,1397323.4085415,sync_event,
1671015086.703683,98784,14556,8,LM,1,100,1397323.8197827,1397323.8198257,1397323.8243386,sync_event,
1671015087.228111,99292,14644,8,LM,1,100,1397324.3197976,1397324.3198440,1397324.3253457,sync_event,
1671015087.715374,99764,14729,8,LM,1,100,1397324.8207513,1397324.8207977,1397324.8253307,sync_event,
1671015088.143794,100179,14802,8,LM,1,100,1397325.3215633,1397325.3216097,1397325.3259077,sync_event,
1671015088.654800,100674,14886,8,LM,1,100,1397325.8221768,1397325.8222232,1397325.8261301,sync_event,
1671015089.173034,101176,14977,8,LM,1,100,1397326.3226094,1397326.3226609,1397326.3261508,sync_event,
1671015089.675782,101663,15053,8,LM,1,100,1397326.8232746,1397326.8233261,1397326.8266143,sync_event,
1671015090.296216,102264,15160,8,LM,1,100,1397327.3237895,1397327.3238411,1397327.3864239,sync_event,
1671015090.695731,102651,15231,8,LM,1,100,1397327.8239595,1397327.8240111,1397327.8442474,sync_event,
1671015091.218093,103157,15322,8,LM,1,100,1397328.3240807,1397328.3241014,1397328.3445811,sync_event,
1671015091.733229,103656,15408,8,LM,1,100,1397328.8247768,1397328.8247975,1397328.8280352,sync_event,
1671015092.259721,104166,15481,8,LM,1,100,1397329.3255054,1397329.3255261,1397329.3289130,sync_event,
1671015092.653042,104547,15549,8,LM,1,100,1397329.8264743,1397329.8264950,1397329.8284785,sync_event,
1671015093.285864,105160,15655,8,LM,1,100,1397330.3267818,1397330.3267893,1397330.3457621,sync_event,
1671015093.829906,105687,15743,8,LM,1,100,1397330.8274516,1397330.8274591,1397330.8478556,sync_event,
1671015094.226323,106071,15817,8,LM,1,100,1397331.3275467,1397331.3275542,1397331.3297738,sync_event,
1671015094.681584,106512,15890,8,LM,1,100,1397331.8276855,1397331.8276930,1397331.8301546,sync_event,
1671015095.207044,107021,15980,8,LM,1,100,1397332.3276406,1397332.3276533,1397332.3304271,sync_event,
1671015095.651981,107452,16049,8,LM,1,100,1397332.8281092,1397332.8281219,1397332.8309277,sync_event,
1671015096.147503,107932,16136,8,LM,1,100,1397333.3287142,1397333.3287269,1397333.3311890,sync_event,
1671015096.645089,108414,16221,8,LM,1,100,1397333.8296021,1397333.8296148,1397333.8319521,sync_event,
1671015097.182937,108935,16313,8,LM,1,100,1397334.3302202,1397334.3302168,1397334.3651519,sync_event,
1671015097.898346,109628,16435,8,LM,1,100,1397334.8304737,1397334.8304703,1397334.8334853,sync_event,
1671015098.342251,110058,16509,8,LM,1,100,1397335.3306725,1397335.3306691,1397335.4314179,sync_event,
1671015098.736604,110440,16578,8,LM,1,100,1397335.8311122,1397335.8311088,1397335.8493689,sync_event,
1671015099.189800,110879,16649,8,LM,1,100,1397336.3315207,1397336.3315391,1397336.3499854,sync_event,
1671015099.705968,111379,16736,8,LM,1,100,1397336.8323640,1397336.8323824,1397336.8500862,sync_event,
1671015100.198393,111856,16817,8,LM,1,100,1397337.3327763,1397337.3327947,1397337.3503517,sync_event,
1671015100.727982,112369,16907,8,LM,1,100,1397337.8334845,1397337.8335029,1397337.8508589,sync_event,
1671015101.166725,112794,16981,8,LM,1,100,1397338.3341922,1397338.3342013,1397338.3509596,sync_event,
1671015101.780966,113389,17085,8,LM,1,100,1397338.8350221,1397338.8350312,1397338.8931592,sync_event,
1671015102.180480,113776,17157,8,LM,1,100,1397339.3355599,1397339.3355690,1397339.3519912,sync_event,
1671015102.703875,114283,17244,8,LM,1,100,1397339.8365022,1397339.8365113,1397339.8521929,sync_event,
1671015103.232432,114795,17333,8,LM,1,100,1397340.3372693,1397340.3372482,1397340.3525324,sync_event,
1671015103.758924,115305,17420,8,LM,1,100,1397340.8375695,1397340.8375484,1397340.8530611,sync_event,
1671015104.218314,115750,17491,8,LM,1,100,1397341.3375910,1397341.3375700,1397341.3535989,sync_event,
1671015104.726223,116242,17578,8,LM,1,100,1397341.8386312,1397341.8386101,1397341.8538330,sync_event,
1671015105.175290,116677,17652,8,LM,1,100,1397342.3394588,1397342.3394669,1397342.3548731,sync_event,
1671015105.770948,117254,17745,8,LM,1,100,1397342.8402099,1397342.8402180,1397342.8751306,sync_event,
1671015106.268535,117736,17835,8,LM,1,100,1397343.3411279,1397343.3411360,1397343.3548569,sync_event,
1671015106.673211,118128,17904,8,LM,1,100,1397343.8418604,1397343.8418685,1397343.8551880,sync_event,
