LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1671015043.891979,57313.333,7498,3,AX,1,100,-0.082
1671015043.936713,57356.667,7498,3,AX,1,100,-0.087
1671015043.981448,57400.000,7498,3,AX,1,100,-0.082
1671015044.021193,57438.500,7515,2,AX,1,100,-0.089
1671015044.060938,57477.000,7515,2,AX,1,100,-0.083
1671015044.100511,57515.333,7537,3,AX,1,100,-0.084
1671015044.140084,57553.667,7537,3,AX,1,100,-0.087
1671015044.179656,57592.000,7537,3,AX,1,100,-0.082
1671015044.219918,57631.000,7552,3,AX,1,100,-0.085
1671015044.260179,57670.000,7552,3,AX,1,100,-0.085
1671015044.300440,57709.000,7552,3,AX,1,100,-0.082
1671015044.340185,57747.500,7569,2,AX,1,100,-0.084
1671015044.379930,57786.000,7569,2,AX,1,100,-0.085
1671015044.419847,57824.667,7585,3,AX,1,100,-0.078
1671015044.459764,57863.333,7585,3,AX,1,100,-0.086
1671015044.499681,57902.000,7585,3,AX,1,100,-0.084
1671015044.538910,57940.000,7605,3,AX,1,100,-0.079
1671015044.578138,57978.000,7605,3,AX,1,100,-0.088
1671015044.617367,58016.000,7605,3,AX,1,100,-0.089
1671015044.657284,58054.667,7622,3,AX,1,100,-0.089
1671015044.697201,58093.333,7622,3,AX,1,100,-0.085
1671015044.737118,58132.000,7622,3,AX,1,100,-0.088
1671015044.777035,58170.667,7639,3,AX,1,100,-0.092
1671015044.816952,58209.333,7639,3,AX,1,100,-0.094
1671015044.856869,58248.000,7639,3,AX,1,100,-0.090
1671015044.897131,58287.000,7653,2,AX,1,100,-0.090
1671015044.937392,58326.000,7653,2,AX,1,100,-0.094
1671015044.983847,58371.000,7671,2,AX,1,100,-0.091
1671015045.030302,58416.000,7671,2,AX,1,100,-0.083
1671015045.070219,58454.667,7692,3,AX,1,100,-0.087
1671015045.110136,58493.333,7692,3,AX,1,100,-0.091
1671015045.150053,58532.000,7692,3,AX,1,100,-0.090
1671015045.189626,58570.333,7709,3,AX,1,100,-0.088
1671015045.229199,58608.667,7709,3,AX,1,100,-0.086
1671015045.268772,58647.000,7709,3,AX,1,100,-0.087
1671015045.310066,58687.000,7726,2,AX,1,100,-0.088
1671015045.351359,58727.000,7726,2,AX,1,100,-0.089
1671015045.390932,58765.333,7741,3,AX,1,100,-0.086
1671015045.430505,58803.667,7741,3,AX,1,100,-0.085
1671015045.470078,58842.000,7741,3,AX,1,100,-0.090
1671015045.509823,58880.500,7757,2,AX,1,100,-0.088
1671015045.549568,58919.000,7757,2,AX,1,100,-0.086
1671015045.589485,58957.667,7777,3,AX,1,100,-0.091
1671015045.629402,58996.333,7777,3,AX,1,100,-0.104
1671015045.669319,59035.000,7777,3,AX,1,100,-0.086
1671015045.709236,59073.667,7794,3,AX,1,100,-0.086
1671015045.749153,59112.333,7794,3,AX,1,100,0.067
1671015045.789070,59151.000,7794,3,AX,1,100,0.314
1671015045.828815,59189.500,7810,2,AX,1,100,0.269
1671015045.868560,59228.000,7810,2,AX,1,100,0.153
1671015045.908477,59266.667,7825,3,AX,1,100,0.180
1671015045.948394,59305.333,7825,3,AX,1,100,0.095
1671015045.988311,59344.000,7825,3,AX,1,100,0.123
1671015046.027540,59382.000,7848,3,AX,1,100,0.023
1671015046.066768,59420.000,7848,3,AX,1,100,-0.117
1671015046.105997,59458.000,7848,3,AX,1,100,-0.223
1671015046.152969,59503.500,7864,2,AX,1,100,-0.241
1671015046.199940,59549.000,7864,2,AX,1,100,-0.353
1671015046.239857,59587.667,7881,3,AX,1,100,-0.231
1671015046.279774,59626.333,7881,3,AX,1,100,-0.238
1671015046.319691,59665.000,7881,3,AX,1,100,-0.207
1671015046.359952,59704.000,7897,2,AX,1,100,-0.280
1671015046.400213,59743.000,7897,2,AX,1,100,-0.233
1671015046.439786,59781.333,7913,3,AX,1,100,-0.090
1671015046.479359,59819.667,7913,3,AX,1,100,-0.014
1671015046.518932,59858.000,7913,3,AX,1,100,0.083
1671015046.558505,59896.333,7929,3,AX,1,100,0.097
1671015046.598078,59934.667,7929,3,AX,1,100,0.118
1671015046.637651,59973.000,7929,3,AX,1,100,0.041
1671015046.677396,60011.500,7950,2,AX,1,100,0.017
1671015046.717141,60050.000,7950,2,AX,1,100,-0.028
1671015046.757746,60089.333,7966,3,AX,1,100,-0.010
1671015046.798351,60128.667,7966,3,AX,1,100,0.038
1671015046.838957,60168.000,7966,3,AX,1,100,0.072
1671015046.879218,60207.000,7983,2,AX,1,100,0.177
1671015046.919479,60246.000,7983,2,AX,1,100,0.250
1671015046.959396,60284.667,8000,3,AX,1,100,0.338
1671015046.999313,60323.333,8000,3,AX,1,100,0.200
1671015047.039230,60362.000,8000,3,AX,1,100,0.292
1671015047.081762,60403.200,8023,5,AX,1,100,0.303
1671015047.124295,60444.400,8023,5,AX,1,100,0.054
1671015047.166827,60485.600,8023,5,AX,1,100,-0.122
1671015047.209359,60526.800,8023,5,AX,1,100,-0.212
1671015047.251891,60568.000,8023,5,AX,1,100,-0.256
1671015047.291120,60606.000,8042,3,AX,1,100,-0.246
1671015047.330349,60644.000,8042,3,AX,1,100,-0.225
1671015047.369578,60682.000,8042,3,AX,1,100,-0.167
1671015047.409839,60721.000,8058,3,AX,1,100,-0.165
1671015047.450100,60760.000,8058,3,AX,1,100,-0.125
1671015047.490361,60799.000,8058,3,AX,1,100,-0.055
1671015047.530106,60837.500,8073,2,AX,1,100,0.014
1671015047.569851,60876.000,8073,2,AX,1,100,0.045
1671015047.610456,60915.333,8094,3,AX,1,100,0.053
1671015047.651062,60954.667,8094,3,AX,1,100,0.128
1671015047.691667,60994.000,8094,3,AX,1,100,0.182
1671015047.731412,61032.500,8110,2,AX,1,100,0.233
1671015047.771157,61071.000,8110,2,AX,1,100,0.305
1671015047.811418,61110.000,8127,3,AX,1,100,0.323
1671015047.851679,61149.000,8127,3,AX,1,100,0.384
1671015047.891940,61188.000,8127,3,AX,1,100,0.339
1671015047.931857,61226.667,8143,3,AX,1,100,0.361
1671015047.971774,61265.333,8143,3,AX,1,100,0.213
1671015048.011691,61304.000,8143,3,AX,1,100,0.060
1671015048.050920,61342.000,8166,2,AX,1,100,-0.078
1671015048.090149,61380.000,8166,2,AX,1,100,-0.156
1671015048.130410,61419.000,8182,3,AX,1,100,-0.191
1671015048.170671,61458.000,8182,3,AX,1,100,-0.169
1671015048.210932,61497.000,8182,3,AX,1,100,-0.110
1671015048.251710,61536.500,8199,2,AX,1,100,-0.024
1671015048.292487,61576.000,8199,2,AX,1,100,0.042
1671015048.337910,61620.000,8216,3,AX,1,100,0.065
1671015048.383333,61664.000,8216,3,AX,1,100,0.138
1671015048.428756,61708.000,8216,3,AX,1,100,0.135
1671015048.469017,61747.000,8231,2,AX,1,100,0.144
1671015048.509278,61786.000,8231,2,AX,1,100,0.148
1671015048.549195,61824.667,8250,3,AX,1,100,0.134
1671015048.589112,61863.333,8250,3,AX,1,100,0.185
1671015048.629029,61902.000,8250,3,AX,1,100,0.222
1671015048.668258,61940.000,8268,3,AX,1,100,0.164
1671015048.707487,61978.000,8268,3,AX,1,100,0.094
1671015048.746715,62016.000,8268,3,AX,1,100,0.051
1671015048.786460,62054.500,8284,2,AX,1,100,0.003
1671015048.826205,62093.000,8284,2,AX,1,100,-0.017
1671015048.866122,62131.667,8300,3,AX,1,100,-0.039
1671015048.906039,62170.333,8300,3,AX,1,100,-0.079
1671015048.945956,62209.000,8300,3,AX,1,100,-0.090
1671015048.986734,62248.500,8316,2,AX,1,100,-0.109
1671015049.027511,62288.000,8316,2,AX,1,100,-0.100
1671015049.068116,62327.333,8338,3,AX,1,100,-0.149
1671015049.108721,62366.667,8338,3,AX,1,100,-0.127
1671015049.149327,62406.000,8338,3,AX,1,100,-0.159
1671015049.189244,62444.667,8354,3,AX,1,100,-0.183
1671015049.229161,62483.333,8354,3,AX,1,100,-0.176
1671015049.269078,62522.000,8354,3,AX,1,100,-0.198
1671015049.309339,62561.000,8372,2,AX,1,100,-0.180
1671015049.349600,62600.000,8372,2,AX,1,100,-0.154
1671015049.389345,62638.500,8386,2,AX,1,100,-0.124
1671015049.429090,62677.000,8386,2,AX,1,100,-0.134
1671015049.473137,62719.667,8403,3,AX,1,100,-0.095
1671015049.517183,62762.333,8403,3,AX,1,100,-0.056
