LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1671015119.816926,130860,20119,4,TX,1,100,2022-12-14_12-51-59-696535,1397356.8847616,
1671015120.255669,131285,20192,4,TX,1,100,2022-12-14_12-52-00-196485,1397357.3847299,
1671015120.707833,131723,20262,4,TX,1,100,2022-12-14_12-52-00-696222,1397357.8844840,
1671015121.324138,132320,20354,4,TX,1,100,2022-12-14_12-52-01-196951,1397358.3852303,
1671015121.719523,132703,20428,4,TX,1,100,2022-12-14_12-52-01-697825,1397358.8861191,
1671015122.271824,133238,20515,4,TX,1,100,2022-12-14_12-52-02-181886,1397359.3701978,
1671015122.781798,133732,20602,4,TX,1,100,2022-12-14_12-52-02-721073,1397359.9094030,
1671015123.292805,134227,20688,4,TX,1,100,2022-12-14_12-52-03-181000,1397360.3693448,
1671015123.712966,134634,20762,4,TX,1,100,2022-12-14_12-52-03-699040,1397360.8874004,
1671015124.219844,135125,20847,4,TX,1,100,2022-12-14_12-52-04-199318,1397361.3876965,
1671015124.784532,135672,20934,4,TX,1,100,2022-12-14_12-52-04-699612,1397361.8880082,
1671015125.218113,136092,21006,4,TX,1,100,2022-12-14_12-52-05-199964,1397362.3883764,
1671015125.791061,136647,21108,4,TX,1,100,2022-12-14_12-52-05-700463,1397362.8888925,
1671015126.233933,137076,21182,4,TX,1,100,2022-12-14_12-52-06-183897,1397363.3723418,
1671015126.875015,137697,21273,4,TX,1,100,2022-12-14_12-52-06-704274,1397363.8927362,
1671015127.197104,138009,21329,4,TX,1,100,2022-12-14_12-52-07-184074,1397364.3725531,
1671015127.791730,138585,21433,4,TX,1,100,2022-12-14_12-52-07-684795,1397364.8732748,
1671015128.197438,138978,21505,4,TX,1,100,2022-12-14_12-52-08-185146,1397365.3736572,
1671015128.872587,139632,21609,4,TX,1,100,2022-12-14_12-52-08-684726,1397365.8732543,
1671015129.202935,139952,21667,4,TX,1,100,2022-12-14_12-52-09-185316,1397366.3738613,
1671015129.693295,140427,21756,4,TX,1,100,2022-12-14_12-52-09-685647,1397366.8742093,
1671015130.224948,140942,21845,4,TX,1,100,2022-12-14_12-52-10-186132,1397367.3747097,
1671015130.741117,141442,21930,4,TX,1,100,2022-12-14_12-52-10-686529,1397367.8751247,
1671015131.263479,141948,22018,4,TX,1,100,2022-12-14_12-52-11-241951,1397368.4305650,
1671015131.756936,142426,22097,4,TX,1,100,2022-12-14_12-52-11-687066,1397368.8756952,
1671015132.196712,142852,22169,4,TX,1,100,2022-12-14_12-52-12-187159,1397369.3758048,
1671015132.704622,143344,22258,4,TX,1,100,2022-12-14_12-52-12-688343,1397369.8770055,
1671015133.211499,143835,22344,4,TX,1,100,2022-12-14_12-52-13-187745,1397370.3764242,
1671015133.723538,144331,22432,4,TX,1,100,2022-12-14_12-52-13-688438,1397370.8771328,
1671015134.245901,144837,22520,4,TX,1,100,2022-12-14_12-52-14-188069,1397371.3767810,
1671015134.729035,145305,22590,4,TX,1,100,2022-12-14_12-52-14-706106,1397371.8948356,
1671015135.262753,145822,22680,4,TX,1,100,2022-12-14_12-52-15-226073,1397372.4148199,
1671015135.765501,146309,22768,4,TX,1,100,2022-12-14_12-52-15-705852,1397372.8946147,
1671015136.281670,146809,22856,4,TX,1,100,2022-12-14_12-52-16-190266,1397373.3790452,
1671015136.709057,147223,22927,4,TX,1,100,2022-12-14_12-52-16-690347,1397373.8791425,
1671015137.305748,147801,23022,4,TX,1,100,2022-12-14_12-52-17-191517,1397374.3803284,
1671015137.709392,148192,23090,4,TX,1,100,2022-12-14_12-52-17-691222,1397374.8800525,
1671015138.215237,148682,23180,4,TX,1,100,2022-12-14_12-52-18-191578,1397375.3804237,
1671015138.828445,149276,23282,4,TX,1,100,2022-12-14_12-52-18-692064,1397375.8809262,
1671015139.268221,149702,23355,4,TX,1,100,2022-12-14_12-52-19-211899,1397376.4007795,
1671015139.780260,150198,23442,4,TX,1,100,2022-12-14_12-52-19-691696,1397376.8805917,
1671015140.211776,150616,23516,4,TX,1,100,2022-12-14_12-52-20-193493,1397377.3824058,
1671015140.779562,151166,23603,4,TX,1,100,2022-12-14_12-52-20-692855,1397377.8817850,
1671015141.214176,151587,23676,4,TX,1,100,2022-12-14_12-52-21-193736,1397378.3826827,
1671015141.809834,152164,23779,4,TX,1,100,2022-12-14_12-52-21-727168,1397378.9161317,
1671015142.236190,152577,23842,4,TX,1,100,2022-12-14_12-52-22-194319,1397379.3832990,
1671015142.736873,153062,23936,4,TX,1,100,2022-12-14_12-52-22-710909,1397379.8999030,
1671015143.268527,153577,24023,4,TX,1,100,2022-12-14_12-52-23-198643,1397380.3876569,
1671015143.901349,154190,24128,4,TX,1,100,2022-12-14_12-52-23-764140,1397380.9531725,
