LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1671015110.890308,122213,18614,4,TX,1,100,1397347.8463542,1397347.8463575,
1671015111.191750,122505,18671,4,TX,1,100,1397348.3467928,1397348.3468090,
1671015111.718242,123015,18759,4,TX,1,100,1397348.8473408,1397348.8473570,
1671015112.231314,123512,18845,4,TX,1,100,1397349.3476859,1397349.3477021,
1671015112.689671,123956,18919,4,TX,1,100,1397349.8481280,1397349.8481442,
1671015113.241971,124491,19006,4,TX,1,100,1397350.3485359,1397350.3485643,
1671015113.743687,124977,19093,4,TX,1,100,1397350.8487941,1397350.8488224,
1671015114.290826,125507,19182,4,TX,1,100,1397351.3495377,1397351.3495660,
1671015114.699631,125903,19253,4,TX,1,100,1397351.8502230,1397351.8502514,
1671015115.197218,126385,19339,4,TX,1,100,1397352.3507288,1397352.3507367,
1671015115.735065,126906,19427,4,TX,1,100,1397352.8509282,1397352.8509361,
1671015116.205811,127362,19504,4,TX,1,100,1397353.3518114,1397353.3518193,
1671015116.793211,127931,19608,4,TX,1,100,1397353.8527933,1397353.8528012,
1671015117.230922,128355,19680,4,TX,1,100,1397354.3530619,1397354.3530750,
1671015117.753284,128861,19767,4,TX,1,100,1397354.8536977,1397354.8537108,
1671015118.276679,129368,19856,4,TX,1,100,1397355.3545762,1397355.3545893,
1671015118.794913,129870,19943,4,TX,1,100,1397355.8550969,1397355.8551100,
1671015119.230559,130292,20016,4,TX,1,100,1397356.3559479,1397356.3559998,
1671015119.814862,130858,20118,4,TX,1,100,1397356.8568720,1397356.8569239,
1671015120.253605,131283,20191,4,TX,1,100,1397357.3578224,1397357.3578743,
1671015120.705768,131721,20261,4,TX,1,100,1397357.8585042,1397357.8585561,
1671015121.322073,132318,20353,4,TX,1,100,1397358.3593727,1397358.3594081,
1671015121.717459,132701,20427,4,TX,1,100,1397358.8602317,1397358.8602671,
1671015122.269759,133236,20514,4,TX,1,100,1397359.3602818,1397359.3603172,
1671015122.779733,133730,20601,4,TX,1,100,1397359.8608857,1397359.8609211,
1671015123.288676,134223,20687,4,TX,1,100,1397360.3613923,1397360.3613994,
1671015123.710901,134632,20761,4,TX,1,100,1397360.8614489,1397360.8614560,
1671015124.217779,135123,20846,4,TX,1,100,1397361.3616814,1397361.3616885,
1671015124.782467,135670,20933,4,TX,1,100,1397361.8625856,1397361.8625927,
1671015125.216049,136090,21005,4,TX,1,100,1397362.3625078,1397362.3625307,
1671015125.788996,136645,21107,4,TX,1,100,1397362.8632221,1397362.8632450,
1671015126.231869,137074,21181,4,TX,1,100,1397363.3633990,1397363.3634219,
1671015126.872950,137695,21272,4,TX,1,100,1397363.8640548,1397363.8640777,
1671015127.195039,138007,21328,4,TX,1,100,1397364.3646219,1397364.3646581,
1671015127.789665,138583,21432,4,TX,1,100,1397364.8652871,1397364.8653233,
1671015128.195374,138976,21504,4,TX,1,100,1397365.3656432,1397365.3656794,
1671015128.870522,139630,21608,4,TX,1,100,1397365.8664051,1397365.8664413,
1671015129.200870,139950,21666,4,TX,1,100,1397366.3668848,1397366.3669229,
1671015129.691230,140425,21755,4,TX,1,100,1397366.8673523,1397366.8673904,
1671015130.222883,140940,21844,4,TX,1,100,1397367.3678356,1397367.3678737,
1671015130.738020,141439,21929,4,TX,1,100,1397367.8681910,1397367.8682291,
1671015131.261415,141946,22017,4,TX,1,100,1397368.3686567,1397368.3687008,
1671015131.754872,142424,22096,4,TX,1,100,1397368.8688237,1397368.8688678,
1671015132.194647,142850,22168,4,TX,1,100,1397369.3688479,1397369.3688920,
1671015132.702557,143342,22257,4,TX,1,100,1397369.8691478,1397369.8691919,
1671015133.209435,143833,22343,4,TX,1,100,1397370.3695996,1397370.3696165,
1671015133.721474,144329,22431,4,TX,1,100,1397370.8702821,1397370.8702990,
1671015134.243836,144835,22519,4,TX,1,100,1397371.3708679,1397371.3708848,
1671015134.724905,145301,22589,4,TX,1,100,1397371.8709311,1397371.8709480,
1671015135.260688,145820,22679,4,TX,1,100,1397372.3714013,1397372.3714029,
1671015135.763436,146307,22767,4,TX,1,100,1397372.8717580,1397372.8717596,
1671015136.279605,146807,22855,4,TX,1,100,1397373.3720953,1397373.3720969,
1671015136.706992,147221,22926,4,TX,1,100,1397373.8722349,1397373.8722365,
1671015137.303683,147799,23021,4,TX,1,100,1397374.3723362,1397374.3723715,
1671015137.706295,148189,23089,4,TX,1,100,1397374.8732088,1397374.8732440,
1671015138.212140,148679,23179,4,TX,1,100,1397375.3734128,1397375.3734481,
1671015138.826380,149274,23281,4,TX,1,100,1397375.8739000,1397375.8739353,
1671015139.266156,149700,23354,4,TX,1,100,1397376.3748499,1397376.3748796,
1671015139.778195,150196,23441,4,TX,1,100,1397376.8755264,1397376.8755561,
1671015140.209712,150614,23515,4,TX,1,100,1397377.3758560,1397377.3758857,
1671015140.777497,151164,23602,4,TX,1,100,1397377.8768487,1397377.8768784,
1671015141.202820,151576,23675,4,TX,1,100,1397378.3776911,1397378.3777280,
1671015141.807770,152162,23778,4,TX,1,100,1397378.8781989,1397378.8782358,
1671015142.234125,152575,23841,4,TX,1,100,1397379.3783307,1397379.3783676,
1671015142.734808,153060,23935,4,TX,1,100,1397379.8788587,1397379.8788956,
1671015143.266462,153575,24022,4,TX,1,100,1397380.3796590,1397380.3796875,
1671015143.899285,154188,24127,4,TX,1,100,1397380.8802435,1397380.8802720,
