LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1670854098.183479,148086.000,22452,1,TH,1,100,21.136
1670854098.315597,148214.000,22469,1,TH,1,100,21.136
1670854098.448747,148343.000,22501,1,TH,1,100,21.211
1670854098.581897,148472.000,22519,1,TH,1,100,21.211
1670854098.714015,148600.000,22536,1,TH,1,100,21.084
1670854098.847165,148729.000,22553,1,TH,1,100,21.091
1670854098.980315,148858.000,22584,1,TH,1,100,21.194
1670854099.114497,148988.000,22601,1,TH,1,100,21.194
1670854099.247647,149117.000,22618,1,TH,1,100,21.097
1670854099.380797,149246.000,22635,1,TH,1,100,21.096
1670854099.511883,149373.000,22652,1,TH,1,100,21.104
1670854099.645033,149502.000,22671,1,TH,1,100,21.111
1670854099.780248,149633.000,22703,1,TH,1,100,21.106
1670854099.915462,149764.000,22719,1,TH,1,100,21.106
1670854100.047580,149892.000,22736,1,TH,1,100,21.111
1670854100.180730,150021.000,22753,1,TH,1,100,21.111
1670854100.312848,150149.000,22784,1,TH,1,100,21.084
1670854100.447030,150279.000,22801,1,TH,1,100,21.084
1670854100.581213,150409.000,22820,1,TH,1,100,21.106
1670854100.715395,150539.000,22851,1,TH,1,100,21.106
1670854100.848545,150668.000,22869,1,TH,1,100,21.124
1670854100.979630,150795.000,22885,1,TH,1,100,21.124
1670854101.112781,150924.000,22902,1,TH,1,100,21.130
1670854101.246963,151054.000,22934,1,TH,1,100,21.130
1670854101.381145,151184.000,22950,1,TH,1,100,21.052
1670854101.514295,151313.000,22968,1,TH,1,100,21.052
1670854101.645381,151440.000,23001,1,TH,1,100,21.113
1670854101.777499,151568.000,23018,1,TH,1,100,21.114
1670854101.909617,151696.000,23035,1,TH,1,100,21.063
1670854102.043799,151826.000,23051,1,TH,1,100,21.063
1670854102.180046,151958.000,23083,1,TH,1,100,21.016
1670854102.312164,152086.000,23105,1,TH,1,100,21.016
1670854102.443249,152213.000,23122,1,TH,1,100,21.076
1670854102.576399,152342.000,23141,1,TH,1,100,21.083
1670854102.711614,152473.000,23157,1,TH,1,100,21.156
1670854102.846828,152604.000,23189,1,TH,1,100,21.149
1670854102.979978,152733.000,23206,1,TH,1,100,21.114
1670854103.111064,152860.000,23222,1,TH,1,100,21.121
1670854103.243182,152988.000,23240,1,TH,1,100,21.074
1670854103.376332,153117.000,23271,1,TH,1,100,21.074
1670854103.509482,153246.000,23288,1,TH,1,100,21.118
1670854103.641600,153374.000,23307,1,TH,1,100,21.118
1670854103.774750,153503.000,23323,1,TH,1,100,21.123
1670854103.905836,153630.000,23355,1,TH,1,100,21.123
1670854104.037954,153758.000,23372,1,TH,1,100,21.091
1670854104.172136,153888.000,23389,1,TH,1,100,21.090
1670854104.305286,154017.000,23420,1,TH,1,100,21.164
1670854104.438436,154146.000,23438,1,TH,1,100,21.164
1670854104.569522,154273.000,23456,1,TH,1,100,21.112
1670854104.702672,154402.000,23473,1,TH,1,100,21.112
1670854104.835822,154531.000,23505,1,TH,1,100,21.215
1670854104.967940,154659.000,23521,1,TH,1,100,21.215
