LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1670854075.020526,125645.000,18768,3,PR,1,100,1597
1670854075.059749,125683.000,18768,3,PR,1,100,1589
1670854075.100003,125722.000,18784,2,PR,1,100,1587
1670854075.140258,125761.000,18784,2,PR,1,100,1583
1670854075.180513,125800.000,18802,3,PR,1,100,1580
1670854075.220767,125839.000,18802,3,PR,1,100,1579
1670854075.261022,125878.000,18802,3,PR,1,100,1576
1670854075.301621,125917.333,18816,3,PR,1,100,1576
1670854075.342220,125956.667,18816,3,PR,1,100,1578
1670854075.382818,125996.000,18816,3,PR,1,100,1578
1670854075.422557,126034.500,18833,2,PR,1,100,1582
1670854075.462296,126073.000,18833,2,PR,1,100,1585
1670854075.502206,126111.667,18850,3,PR,1,100,1590
1670854075.542117,126150.333,18850,3,PR,1,100,1593
1670854075.582027,126189.000,18850,3,PR,1,100,1595
1670854075.621766,126227.500,18869,2,PR,1,100,1590
1670854075.661505,126266.000,18869,2,PR,1,100,1576
1670854075.701415,126304.667,18884,3,PR,1,100,1588
1670854075.741326,126343.333,18884,3,PR,1,100,1567
1670854075.781236,126382.000,18884,3,PR,1,100,1572
1670854075.821147,126420.667,18901,3,PR,1,100,1572
1670854075.861058,126459.333,18901,3,PR,1,100,1583
1670854075.900968,126498.000,18901,3,PR,1,100,1585
1670854075.940879,126536.667,18922,3,PR,1,100,1585
1670854075.980789,126575.333,18922,3,PR,1,100,1583
1670854076.020700,126614.000,18922,3,PR,1,100,1587
1670854076.067664,126659.500,18939,2,PR,1,100,1590
1670854076.114628,126705.000,18939,2,PR,1,100,1592
1670854076.155915,126745.000,18955,2,PR,1,100,1596
1670854076.197201,126785.000,18955,2,PR,1,100,1577
1670854076.236768,126823.333,18972,3,PR,1,100,1578
1670854076.276335,126861.667,18972,3,PR,1,100,1576
1670854076.315901,126900.000,18972,3,PR,1,100,1577
1670854076.355124,126938.000,18987,3,PR,1,100,1578
1670854076.394346,126976.000,18987,3,PR,1,100,1581
1670854076.433569,127014.000,18987,3,PR,1,100,1578
1670854076.473135,127052.333,19004,3,PR,1,100,1580
1670854076.512702,127090.667,19004,3,PR,1,100,1597
1670854076.552268,127129.000,19004,3,PR,1,100,1600
1670854076.592523,127168.000,19023,2,PR,1,100,1588
1670854076.632778,127207.000,19023,2,PR,1,100,1576
1670854076.673032,127246.000,19040,3,PR,1,100,1579
1670854076.713287,127285.000,19040,3,PR,1,100,1573
1670854076.753542,127324.000,19040,3,PR,1,100,1571
1670854076.793280,127362.500,19055,2,PR,1,100,1568
1670854076.833019,127401.000,19055,2,PR,1,100,1583
1670854076.872930,127439.667,19072,3,PR,1,100,1580
1670854076.912840,127478.333,19072,3,PR,1,100,1593
1670854076.952751,127517.000,19072,3,PR,1,100,1592
1670854076.991973,127555.000,19088,3,PR,1,100,1587
1670854077.031196,127593.000,19088,3,PR,1,100,1594
1670854077.070418,127631.000,19088,3,PR,1,100,1584
1670854077.110673,127670.000,19105,2,PR,1,100,1577
1670854077.150928,127709.000,19105,2,PR,1,100,1567
1670854077.190838,127747.667,19122,3,PR,1,100,1583
1670854077.230749,127786.333,19122,3,PR,1,100,1571
1670854077.270659,127825.000,19122,3,PR,1,100,1575
1670854077.310398,127863.500,19137,2,PR,1,100,1574
1670854077.350137,127902.000,19137,2,PR,1,100,1587
1670854077.389703,127940.333,19153,3,PR,1,100,1588
1670854077.429270,127978.667,19153,3,PR,1,100,1590
1670854077.468836,128017.000,19153,3,PR,1,100,1587
1670854077.508747,128055.667,19171,3,PR,1,100,1587
1670854077.548657,128094.333,19171,3,PR,1,100,1585
1670854077.588568,128133.000,19171,3,PR,1,100,1591
1670854077.628307,128171.500,19189,2,PR,1,100,1580
1670854077.668045,128210.000,19189,2,PR,1,100,1572
1670854077.707612,128248.333,19206,3,PR,1,100,1575
1670854077.747178,128286.667,19206,3,PR,1,100,1575
1670854077.786745,128325.000,19206,3,PR,1,100,1570
1670854077.833193,128370.000,19221,2,PR,1,100,1571
1670854077.879640,128415.000,19221,2,PR,1,100,1600
1670854077.919207,128453.333,19238,3,PR,1,100,1595
1670854077.958774,128491.667,19238,3,PR,1,100,1589
1670854077.998340,128530.000,19238,3,PR,1,100,1596
1670854078.038595,128569.000,19254,2,PR,1,100,1598
1670854078.078849,128608.000,19254,2,PR,1,100,1579
1670854078.118760,128646.667,19272,3,PR,1,100,1574
1670854078.158671,128685.333,19272,3,PR,1,100,1577
1670854078.198581,128724.000,19272,3,PR,1,100,1572
1670854078.238492,128762.667,19288,3,PR,1,100,1570
1670854078.278403,128801.333,19288,3,PR,1,100,1574
1670854078.318313,128840.000,19288,3,PR,1,100,1594
1670854078.358224,128878.667,19303,3,PR,1,100,1580
1670854078.398134,128917.333,19303,3,PR,1,100,1589
1670854078.438045,128956.000,19303,3,PR,1,100,1590
1670854078.476235,128993.000,19319,2,PR,1,100,1586
1670854078.514426,129030.000,19319,2,PR,1,100,1584
1670854078.554336,129068.667,19339,3,PR,1,100,1581
1670854078.594247,129107.333,19339,3,PR,1,100,1574
1670854078.634157,129146.000,19339,3,PR,1,100,1564
1670854078.674412,129185.000,19355,2,PR,1,100,1580
1670854078.714667,129224.000,19355,2,PR,1,100,1573
1670854078.754577,129262.667,19371,3,PR,1,100,1569
1670854078.794488,129301.333,19371,3,PR,1,100,1572
1670854078.834399,129340.000,19371,3,PR,1,100,1587
1670854078.874309,129378.667,19387,3,PR,1,100,1587
1670854078.914220,129417.333,19387,3,PR,1,100,1590
1670854078.954131,129456.000,19387,3,PR,1,100,1584
1670854078.993869,129494.500,19404,2,PR,1,100,1587
1670854079.033608,129533.000,19404,2,PR,1,100,1578
1670854079.073518,129571.667,19420,3,PR,1,100,1582
1670854079.113429,129610.333,19420,3,PR,1,100,1573
1670854079.153340,129649.000,19420,3,PR,1,100,1569
1670854079.193594,129688.000,19438,2,PR,1,100,1577
1670854079.233849,129727.000,19438,2,PR,1,100,1577
1670854079.274448,129766.333,19452,3,PR,1,100,1582
1670854079.315046,129805.667,19452,3,PR,1,100,1579
1670854079.355645,129845.000,19452,3,PR,1,100,1601
1670854079.395556,129883.667,19469,3,PR,1,100,1583
1670854079.435466,129922.333,19469,3,PR,1,100,1593
1670854079.475377,129961.000,19469,3,PR,1,100,1582
1670854079.514944,129999.333,19486,3,PR,1,100,1583
1670854079.554510,130037.667,19486,3,PR,1,100,1572
1670854079.594077,130076.000,19486,3,PR,1,100,1571
1670854079.634331,130115.000,19505,2,PR,1,100,1573
1670854079.674586,130154.000,19505,2,PR,1,100,1576
1670854079.721034,130199.000,19521,2,PR,1,100,1586
1670854079.767481,130244.000,19521,2,PR,1,100,1591
1670854079.807392,130282.667,19537,3,PR,1,100,1598
1670854079.847303,130321.333,19537,3,PR,1,100,1585
1670854079.887213,130360.000,19537,3,PR,1,100,1593
1670854079.926436,130398.000,19553,3,PR,1,100,1590
1670854079.965658,130436.000,19553,3,PR,1,100,1593
1670854080.004881,130474.000,19553,3,PR,1,100,1578
1670854080.045135,130513.000,19570,2,PR,1,100,1581
1670854080.085390,130552.000,19570,2,PR,1,100,1572
1670854080.125301,130590.667,19587,3,PR,1,100,1569
1670854080.165211,130629.333,19587,3,PR,1,100,1582
1670854080.205122,130668.000,19587,3,PR,1,100,1583
1670854080.244861,130706.500,19604,2,PR,1,100,1587
1670854080.284599,130745.000,19604,2,PR,1,100,1590
1670854080.324510,130783.667,19618,3,PR,1,100,1591
1670854080.364420,130822.333,19618,3,PR,1,100,1589
