LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1670854086.010052,136292.000,20508,2,EL,1,100,26466.000000
1670854086.078176,136358.000,20524,1,EL,1,100,26466.000000
1670854086.143719,136421.500,20542,2,EL,1,100,26466.000000
1670854086.209261,136485.000,20542,2,EL,1,100,26466.000000
1670854086.274288,136548.000,20558,1,EL,1,100,26466.000000
1670854086.340347,136612.000,20574,2,EL,1,100,26465.800781
1670854086.406406,136676.000,20574,2,EL,1,100,26466.000000
1670854086.473497,136741.000,20595,2,EL,1,100,26466.000000
1670854086.540588,136806.000,20595,2,EL,1,100,26466.000000
1670854086.606647,136870.000,20614,1,EL,1,100,26466.000000
1670854086.673223,136934.500,20630,2,EL,1,100,26466.000000
1670854086.739798,136999.000,20630,2,EL,1,100,26466.000000
1670854086.804824,137062.000,20647,1,EL,1,100,26466.000000
1670854086.871399,137126.500,20662,2,EL,1,100,26466.000000
1670854086.937974,137191.000,20662,2,EL,1,100,26466.000000
1670854087.004549,137255.500,20679,2,EL,1,100,26466.000000
1670854087.071124,137320.000,20679,2,EL,1,100,26466.000000
1670854087.138216,137385.000,20695,1,EL,1,100,26466.000000
1670854087.204791,137449.500,20713,2,EL,1,100,26466.000000
1670854087.271366,137514.000,20713,2,EL,1,100,26466.000000
1670854087.336392,137577.000,20729,1,EL,1,100,26466.000000
1670854087.402451,137641.000,20744,2,EL,1,100,26466.000000
1670854087.468510,137705.000,20744,2,EL,1,100,26466.000000
1670854087.535601,137770.000,20761,1,EL,1,100,26466.000000
1670854087.601660,137834.000,20780,2,EL,1,100,26466.000000
1670854087.667719,137898.000,20780,2,EL,1,100,26466.000000
1670854087.734294,137962.500,20796,2,EL,1,100,26466.000000
1670854087.800869,138027.000,20796,2,EL,1,100,26466.000000
1670854087.866928,138091.000,20813,1,EL,1,100,26466.000000
1670854087.933503,138155.500,20828,2,EL,1,100,26466.000000
1670854088.000078,138220.000,20828,2,EL,1,100,26466.000000
1670854088.066137,138284.000,20845,1,EL,1,100,26466.000000
1670854088.133229,138349.000,20862,2,EL,1,100,26466.000000
1670854088.200320,138414.000,20862,2,EL,1,100,26465.800781
1670854088.264314,138476.000,20879,1,EL,1,100,26465.800781
1670854088.331922,138541.500,20893,2,EL,1,100,26466.000000
1670854088.399529,138607.000,20893,2,EL,1,100,26465.800781
1670854088.467652,138673.000,20910,1,EL,1,100,26465.800781
1670854088.533711,138737.000,20929,2,EL,1,100,26465.400391
1670854088.599770,138801.000,20929,2,EL,1,100,26465.800781
1670854088.666345,138865.500,20946,2,EL,1,100,26465.400391
1670854088.732920,138930.000,20946,2,EL,1,100,26465.199219
1670854088.798979,138994.000,20962,1,EL,1,100,26465.599609
1670854088.865554,139058.500,20978,2,EL,1,100,26465.199219
