LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1670854290.130670,334050.500,53028,2,RD,1,100,TL
1670854292.781801,336619.000,53028,2,RD,1,100,TU
1670854295.420031,339175.000,53864,2,RD,1,100,TL
1670854298.058260,341731.000,53864,2,RD,1,100,TU
1670854300.710940,344301.000,54702,2,RD,1,100,TL
1670854303.363620,346871.000,54702,2,RD,1,100,TU
1670854306.008042,349433.000,55537,2,RD,1,100,TL
1670854308.652465,351995.000,55537,2,RD,1,100,TU
1670854311.296887,354557.000,56371,2,RD,1,100,TL
1670854313.941310,357119.000,56371,2,RD,1,100,TU
1670854316.600183,359695.000,57209,2,RD,1,100,TL
1670854319.259055,362271.000,57209,2,RD,1,100,TU
1670854321.911219,364840.500,58045,2,RD,1,100,TL
1670854324.563383,367410.000,58045,2,RD,1,100,TU
1670854327.210902,369975.000,58881,2,RD,1,100,TL
1670854329.858421,372540.000,58881,2,RD,1,100,TU
1670854332.518326,375117.000,59719,2,RD,1,100,TL
1670854335.178231,377694.000,59719,2,RD,1,100,TU
1670854337.826782,380260.000,60553,2,RD,1,100,TL
1670854340.475333,382826.000,60553,2,RD,1,100,TU
1670854343.140915,385408.500,61387,2,RD,1,100,TL
1670854345.806497,387991.000,61387,2,RD,1,100,TU
1670854348.458145,390560.000,62223,2,RD,1,100,TL
1670854351.109792,393129.000,62223,2,RD,1,100,TU
1670854353.741829,395679.000,63026,2,RD,1,100,TL
1670854356.373865,398229.000,63026,2,RD,1,100,TU
1670854359.020352,400793.000,63848,2,RD,1,100,TL
1670854361.666839,403357.000,63848,2,RD,1,100,TU
1670854364.301972,405910.000,64668,2,RD,1,100,TL
1670854366.937105,408463.000,64668,2,RD,1,100,TU
1670854369.570689,411014.500,65459,2,RD,1,100,TL
1670854372.204274,413566.000,65459,2,RD,1,100,TU
1670854374.853341,416132.500,759,2,RD,1,100,TL
1670854377.502409,418699.000,759,2,RD,1,100,TU
1670854380.140638,421255.000,1593,2,RD,1,100,TL
1670854382.778867,423811.000,1593,2,RD,1,100,TU
1670854385.414001,426364.000,2411,2,RD,1,100,TL
1670854388.049133,428917.000,2411,2,RD,1,100,TU
1670854390.693556,431479.000,3247,2,RD,1,100,TL
1670854393.337978,434041.000,3247,2,RD,1,100,TU
1670854395.978272,436599.000,4082,2,RD,1,100,TL
1670854398.618566,439157.000,4082,2,RD,1,100,TU
1670854401.250086,441706.500,4918,2,RD,1,100,TL
1670854403.881607,444256.000,4918,2,RD,1,100,TU
1670854406.528610,446820.500,5768,2,RD,1,100,TL
1670854409.175612,449385.000,5768,2,RD,1,100,TU
1670854411.822615,451949.500,6602,2,RD,1,100,TL
1670854414.469618,454514.000,6602,2,RD,1,100,TU
1670854417.102171,457064.500,7439,2,RD,1,100,TL
1670854419.734723,459615.000,7439,2,RD,1,100,TU
1670854422.375017,462173.000,8272,2,RD,1,100,TL
1670854425.015311,464731.000,8272,2,RD,1,100,TU
1670854427.647347,467281.000,9110,2,RD,1,100,TL
1670854430.279383,469831.000,9110,2,RD,1,100,TU
1670854432.919677,472389.000,9944,2,RD,1,100,TL
1670854435.559971,474947.000,9944,2,RD,1,100,TU
1670854438.192008,477497.000,10778,2,RD,1,100,TL
1670854440.824044,480047.000,10778,2,RD,1,100,TU
1670854443.462790,482603.500,11617,2,RD,1,100,TL
1670854446.101535,485160.000,11617,2,RD,1,100,TU
1670854448.735636,487712.000,12451,2,RD,1,100,TL
1670854451.369736,490264.000,12451,2,RD,1,100,TU
1670854454.026545,492838.000,13302,2,RD,1,100,TL
1670854456.683353,495412.000,13302,2,RD,1,100,TU
1670854459.315906,497962.500,14137,2,RD,1,100,TL
1670854461.948458,500513.000,14137,2,RD,1,100,TU
1670854464.585140,503067.500,14960,2,RD,1,100,TL
1670854467.221821,505622.000,14960,2,RD,1,100,TU
1670854469.862115,508180.000,15794,2,RD,1,100,TL
1670854472.502409,510738.000,15794,2,RD,1,100,TU
