LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1670854154.388294,202539.000,31297,1,SF,1,100,0.2124
1670854154.790841,202929.000,31364,1,SF,1,100,0.2100
1670854155.187195,203313.000,31420,1,SF,1,100,0.2075
1670854155.389500,203509.000,31454,1,SF,1,100,0.2051
1670854155.724956,203834.000,31505,1,SF,1,100,0.2028
1670854156.057315,204156.000,31555,1,SF,1,100,0.2004
1670854156.457797,204544.000,31622,1,SF,1,100,0.1981
1670854156.789124,204865.000,31671,1,SF,1,100,0.1958
1670854157.058521,205126.000,31721,1,SF,1,100,0.1935
1670854157.388816,205446.000,31770,1,SF,1,100,0.1913
1670854157.725303,205772.000,31820,1,SF,1,100,0.1891
1670854158.122689,206157.000,31885,1,SF,1,100,0.1869
1670854158.454016,206478.000,31938,1,SF,1,100,0.1847
1670854158.719284,206735.000,31986,1,SF,1,100,0.1826
1670854159.049579,207055.000,32037,1,SF,1,100,0.1805
1670854159.380906,207376.000,32085,1,SF,1,100,0.1784
1670854159.712233,207697.000,32136,1,SF,1,100,0.1763
1670854160.110651,208083.000,32201,1,SF,1,100,0.1743
1670854160.445075,208407.000,32258,1,SF,1,100,0.1723
1670854160.709310,208663.000,32307,1,SF,1,100,0.1703
1670854161.040637,208984.000,32357,1,SF,1,100,0.1683
1670854161.374028,209307.000,32406,1,SF,1,100,0.1664
1670854161.706388,209629.000,32456,1,SF,1,100,0.1645
1670854162.103774,210014.000,32521,1,SF,1,100,0.1626
1670854162.375235,210277.000,32574,1,SF,1,100,0.1607
1670854162.710690,210602.000,32622,1,SF,1,100,0.1588
1670854163.043049,210924.000,32671,1,SF,1,100,0.1570
1670854163.375408,211246.000,32721,1,SF,1,100,0.1552
1670854163.773826,211632.000,32788,1,SF,1,100,0.1534
1670854164.108250,211956.000,32837,1,SF,1,100,0.1516
1670854164.372486,212212.000,32887,1,SF,1,100,0.1498
1670854164.711038,212540.000,32938,1,SF,1,100,0.1481
1670854165.039268,212858.000,32986,1,SF,1,100,0.1464
1670854165.376788,213185.000,33037,1,SF,1,100,0.1447
1670854165.774174,213570.000,33093,1,SF,1,100,0.1430
1670854166.040474,213828.000,33127,1,SF,1,100,0.1414
1670854166.439924,214215.000,33194,1,SF,1,100,0.1397
1670854166.773316,214538.000,33242,1,SF,1,100,0.1381
1670854167.040648,214797.000,33293,1,SF,1,100,0.1365
