LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670854162.341173,210244.000,32571,1,BV,1,100,4.00
1670854163.342379,211214.000,32738,1,BV,1,100,4.00
1670854164.338424,212179.000,32902,1,BV,1,100,4.00
1670854165.342726,213152.000,33054,1,BV,1,100,4.00
1670854166.339804,214118.000,33191,1,BV,1,100,4.00
1670854167.337913,215085.000,33358,1,BV,1,100,4.00
1670854168.331894,216048.000,33507,1,BV,1,100,4.00
1670854169.330004,217015.000,33674,1,BV,1,100,4.00
1670854170.325017,217979.000,33822,1,BV,1,100,4.00
1670854171.325191,218948.000,33980,1,BV,1,100,4.00
1670854172.329493,219921.000,34129,1,BV,1,100,4.00
1670854173.326570,220887.000,34279,1,BV,1,100,4.00
1670854174.326744,221856.000,34444,1,BV,1,100,4.00
1670854175.328982,222827.000,34593,1,BV,1,100,4.00
1670854176.327092,223794.000,34749,1,BV,1,100,4.00
1670854177.321073,224757.000,34916,1,BV,1,100,4.00
1670854178.314021,225719.000,35065,1,BV,1,100,4.00
1670854179.314195,226688.000,35232,1,BV,1,100,4.00
1670854180.313337,227656.000,35397,1,BV,1,100,4.00
1670854181.317639,228629.000,35545,1,BV,1,100,4.00
1670854182.317813,229598.000,35700,1,BV,1,100,4.00
1670854183.316955,230566.000,35849,1,BV,1,100,4.00
1670854184.314032,231532.000,36016,1,BV,1,100,4.00
1670854185.317302,232504.000,36182,1,BV,1,100,4.00
1670854186.308187,233464.000,36331,1,BV,1,100,4.00
1670854187.304232,234429.000,36486,1,BV,1,100,4.00
1670854188.302341,235396.000,36634,1,BV,1,100,4.00
1670854189.303547,236366.000,36801,1,BV,1,100,4.00
1670854190.305786,237337.000,36966,1,BV,1,100,4.00
1670854191.305959,238306.000,37115,1,BV,1,100,4.00
1670854192.309230,239278.000,37271,1,BV,1,100,4.00
1670854193.305275,240243.000,37437,1,BV,1,100,4.00
1670854194.306481,241213.000,37586,1,BV,1,100,4.00
1670854195.300462,242176.000,37753,1,BV,1,100,4.00
1670854196.293411,243138.000,37902,1,BV,1,100,4.00
1670854197.292552,244106.000,38068,1,BV,1,100,4.00
1670854198.288597,245071.000,38207,1,BV,1,100,4.00
1670854199.291868,246043.000,38374,1,BV,1,100,4.00
1670854200.287913,247008.000,38538,1,BV,1,100,4.00
1670854201.292215,247981.000,38690,1,BV,1,100,4.00
1670854202.290325,248948.000,38854,1,BV,1,100,4.00
1670854203.287402,249914.000,38994,1,BV,1,100,4.00
1670854204.284479,250880.000,39143,1,BV,1,100,4.00
1670854205.277428,251842.000,39310,1,BV,1,100,4.00
1670854206.277602,252811.000,39458,1,BV,1,100,4.00
1670854207.273647,253776.000,39625,1,BV,1,100,4.00
1670854208.274853,254746.000,39776,1,BV,1,100,4.00
1670854209.275027,255715.000,39927,1,BV,1,100,4.00
1670854210.274169,256683.000,40076,1,BV,1,100,4.00
1670854211.276407,257654.000,40243,1,BV,1,100,4.00
1670854212.273484,258620.000,40408,1,BV,1,100,4.00
1670854213.271594,259587.000,40566,1,BV,1,100,4.00
1670854214.264542,260549.000,40699,1,BV,1,100,4.00
1670854215.262652,261516.000,40866,1,BV,1,100,4.00
1670854216.257665,262480.000,41014,1,BV,1,100,4.00
1670854217.255774,263447.000,41181,1,BV,1,100,4.00
1670854218.255948,264416.000,41330,1,BV,1,100,4.00
1670854219.255090,265384.000,41486,1,BV,1,100,4.00
1670854220.257328,266355.000,41634,1,BV,1,100,4.00
1670854221.255437,267322.000,41801,1,BV,1,100,4.00
1670854222.249418,268285.000,41950,1,BV,1,100,4.00
1670854223.247528,269252.000,42117,1,BV,1,100,4.00
1670854224.245637,270219.000,42270,1,BV,1,100,4.00
1670854225.241682,271184.000,42436,1,BV,1,100,4.00
1670854226.240824,272152.000,42585,1,BV,1,100,4.00
1670854227.242030,273122.000,42752,1,BV,1,100,4.00
1670854228.241172,274090.000,42900,1,BV,1,100,4.00
1670854229.239281,275057.000,43056,1,BV,1,100,4.00
1670854230.239455,276026.000,43220,1,BV,1,100,4.00
1670854231.233436,276989.000,43369,1,BV,1,100,4.00
1670854232.232578,277957.000,43535,1,BV,1,100,4.00
1670854233.226558,278920.000,43684,1,BV,1,100,4.00
1670854234.223636,279886.000,43851,1,BV,1,100,4.00
1670854235.222777,280854.000,44005,1,BV,1,100,4.00
1670854236.221919,281822.000,44155,1,BV,1,100,4.00
1670854237.223125,282792.000,44321,1,BV,1,100,4.00
1670854238.219170,283757.000,44469,1,BV,1,100,4.00
1670854239.219344,284726.000,44636,1,BV,1,100,4.00
1670854240.217453,285693.000,44775,1,BV,1,100,4.00
1670854241.215563,286660.000,44942,1,BV,1,100,4.00
1670854242.210576,287624.000,45091,1,BV,1,100,4.00
1670854243.206621,288589.000,45258,1,BV,1,100,4.00
1670854244.206795,289558.000,45423,1,BV,1,100,4.00
1670854245.205937,290526.000,45562,1,BV,1,100,4.00
1670854246.205078,291494.000,45711,1,BV,1,100,4.00
1670854247.206284,292464.000,45878,1,BV,1,100,4.00
1670854248.203362,293430.000,46026,1,BV,1,100,4.00
1670854249.202503,294398.000,46193,1,BV,1,100,4.00
1670854250.201645,295366.000,46342,1,BV,1,100,4.00
1670854251.195626,296329.000,46497,1,BV,1,100,4.00
1670854252.189607,297292.000,46663,1,BV,1,100,4.00
1670854253.189780,298261.000,46813,1,BV,1,100,4.00
1670854254.188922,299229.000,46979,1,BV,1,100,4.00
1670854255.189096,300198.000,47127,1,BV,1,100,4.00
1670854256.188238,301166.000,47285,1,BV,1,100,4.00
1670854257.192540,302139.000,47451,1,BV,1,100,4.00
1670854258.187553,303103.000,47599,1,BV,1,100,4.00
1670854259.187727,304072.000,47766,1,BV,1,100,4.00
1670854260.181708,305035.000,47915,1,BV,1,100,4.00
1670854261.177753,306000.000,48070,1,BV,1,100,4.00
1670854262.175862,306967.000,48234,1,BV,1,100,4.00
1670854263.177068,307937.000,48383,1,BV,1,100,4.00
1670854264.179307,308908.000,48550,1,BV,1,100,4.00
1670854265.175352,309873.000,48698,1,BV,1,100,4.00
1670854266.180686,310847.000,48865,1,BV,1,100,4.00
1670854267.178796,311814.000,49020,1,BV,1,100,4.00
1670854268.170712,312775.000,49169,1,BV,1,100,4.00
1670854269.170886,313744.000,49335,1,BV,1,100,4.00
1670854270.164867,314707.000,49484,1,BV,1,100,4.00
1670854271.165041,315676.000,49651,1,BV,1,100,4.00
1670854272.162118,316642.000,49804,1,BV,1,100,4.00
1670854273.167453,317616.000,49953,1,BV,1,100,3.99
1670854274.165562,318583.000,50119,1,BV,1,100,4.00
1670854275.165736,319552.000,50267,1,BV,1,100,4.00
1670854276.167974,320523.000,50434,1,BV,1,100,4.00
1670854277.161955,321486.000,50591,1,BV,1,100,4.00
1670854278.160065,322453.000,50739,1,BV,1,100,4.00
1670854279.156110,323418.000,50906,1,BV,1,100,4.00
1670854280.154219,324385.000,51055,1,BV,1,100,4.00
1670854281.150265,325350.000,51222,1,BV,1,100,4.00
1670854282.151470,326320.000,51378,1,BV,1,100,4.00
1670854283.152677,327290.000,51510,1,BV,1,100,4.00
1670854284.148722,328255.000,51677,1,BV,1,100,4.00
1670854285.153024,329228.000,51843,1,BV,1,100,4.00
