LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1671000926.203593,35129.000,1677,1,EL,1,100,26468.000000
1671000926.269331,35194.000,1689,2,EL,1,100,26468.199219
1671000926.335070,35259.000,1689,2,EL,1,100,26468.000000
1671000926.400808,35324.000,1696,1,EL,1,100,26468.000000
1671000926.467052,35389.500,1702,2,EL,1,100,26468.000000
1671000926.533296,35455.000,1702,2,EL,1,100,26468.000000
1671000926.601057,35522.000,1709,1,EL,1,100,26468.000000
1671000926.667807,35588.000,1720,2,EL,1,100,26468.000000
1671000926.734556,35654.000,1720,2,EL,1,100,26468.000000
1671000926.801306,35720.000,1727,1,EL,1,100,26468.000000
1671000926.867044,35785.000,1734,2,EL,1,100,26468.000000
1671000926.932782,35850.000,1734,2,EL,1,100,26468.000000
1671000926.999532,35916.000,1741,2,EL,1,100,26468.000000
1671000927.066282,35982.000,1741,2,EL,1,100,26468.000000
1671000927.133031,36048.000,1749,1,EL,1,100,26467.800781
1671000927.200286,36114.500,1756,2,EL,1,100,26468.000000
1671000927.267542,36181.000,1756,2,EL,1,100,26467.599609
1671000927.333280,36246.000,1765,1,EL,1,100,26467.199219
1671000927.400030,36312.000,1770,2,EL,1,100,26467.599609
1671000927.466779,36378.000,1770,2,EL,1,100,26467.599609
1671000927.533529,36444.000,1778,1,EL,1,100,26467.199219
1671000927.599267,36509.000,1786,2,EL,1,100,26467.400391
1671000927.665005,36574.000,1786,2,EL,1,100,26467.199219
1671000927.730744,36639.000,1796,1,EL,1,100,26467.199219
1671000927.797999,36705.500,1801,2,EL,1,100,26467.000000
1671000927.865254,36772.000,1801,2,EL,1,100,26467.000000
1671000927.932004,36838.000,1809,1,EL,1,100,26467.000000
1671000927.998754,36904.000,1817,2,EL,1,100,26467.000000
1671000928.065503,36970.000,1817,2,EL,1,100,26467.000000
1671000928.132253,37036.000,1825,1,EL,1,100,26467.000000
1671000928.199003,37102.000,1831,2,EL,1,100,26467.000000
1671000928.265752,37168.000,1831,2,EL,1,100,26466.800781
1671000928.331996,37233.500,1839,2,EL,1,100,26467.000000
1671000928.398240,37299.000,1839,2,EL,1,100,26467.000000
