LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
637374.565949,637374.565927,1673971871.367026,3582773.000,61961,1,T1,1,100,28.417
637374.698046,637374.698024,1673971871.499120,3582901.000,61977,1,T1,1,100,28.393
637374.831175,637374.831153,1673971871.632245,3583030.000,61997,1,T1,1,100,28.312
637374.964304,637374.964282,1673971871.765370,3583159.000,62014,1,T1,1,100,28.383
637375.095369,637375.095347,1673971871.896431,3583286.000,62047,1,T1,1,100,28.449
637375.229530,637375.229508,1673971872.030588,3583416.000,62064,1,T1,1,100,28.407
637375.364723,637375.364701,1673971872.165777,3583547.000,62084,1,T1,1,100,28.495
637375.498884,637375.498862,1673971872.299935,3583677.000,62115,1,T1,1,100,28.463
637375.630981,637375.630958,1673971872.432028,3583805.000,62133,1,T1,1,100,28.342
637375.764110,637375.764087,1673971872.565153,3583934.000,62152,1,T1,1,100,28.325
637375.897239,637375.897216,1673971872.698278,3584063.000,62169,1,T1,1,100,28.389
637376.031400,637376.031377,1673971872.832435,3584193.000,62203,1,T1,1,100,28.346
637376.164529,637376.164506,1673971872.965560,3584322.000,62219,1,T1,1,100,28.327
637376.296626,637376.296603,1673971873.097654,3584450.000,62237,1,T1,1,100,28.354
637376.429755,637376.429732,1673971873.230779,3584579.000,62256,1,T1,1,100,28.401
637376.562884,637376.562861,1673971873.363904,3584708.000,62288,1,T1,1,100,28.386
637376.696013,637376.695990,1673971873.497029,3584837.000,62305,1,T1,1,100,28.415
637376.832238,637376.832215,1673971873.633250,3584969.000,62324,1,T1,1,100,28.428
637376.964334,637376.964312,1673971873.765344,3585097.000,62342,1,T1,1,100,28.398
637377.097463,637377.097441,1673971873.898469,3585226.000,62375,1,T1,1,100,28.456
637377.229560,637377.229538,1673971874.030562,3585354.000,62395,1,T1,1,100,28.410
637377.362689,637377.362667,1673971874.163687,3585483.000,62412,1,T1,1,100,28.426
637377.496850,637377.496828,1673971874.297844,3585613.000,62428,1,T1,1,100,28.432
637377.634107,637377.634085,1673971874.435097,3585746.000,62460,1,T1,1,100,28.400
637377.767236,637377.767214,1673971874.568223,3585875.000,62480,1,T1,1,100,28.350
637377.898301,637377.898279,1673971874.699284,3586002.000,62496,1,T1,1,100,28.364
637378.030398,637378.030376,1673971874.831377,3586130.000,62514,1,T1,1,100,28.370
637378.163527,637378.163505,1673971874.964502,3586259.000,62547,1,T1,1,100,28.408
637378.298720,637378.298698,1673971875.099691,3586390.000,62567,1,T1,1,100,28.389
637378.430817,637378.430795,1673971875.231784,3586518.000,62584,1,T1,1,100,28.452
637378.563946,637378.563924,1673971875.364910,3586647.000,62616,1,T1,1,100,28.444
637378.696043,637378.696021,1673971875.497003,3586775.000,62632,1,T1,1,100,28.405
637378.828140,637378.828117,1673971875.629096,3586903.000,62652,1,T1,1,100,28.423
637378.962301,637378.962278,1673971875.763253,3587033.000,62669,1,T1,1,100,28.467
637379.098526,637379.098503,1673971875.899474,3587165.000,62702,1,T1,1,100,28.415
637379.230623,637379.230600,1673971876.031568,3587293.000,62719,1,T1,1,100,28.428
637379.361688,637379.361665,1673971876.162629,3587420.000,62739,1,T1,1,100,28.469
637379.494817,637379.494794,1673971876.295754,3587549.000,62777,2,T1,1,100,28.380
637379.627946,637379.627923,1673971876.428879,3587678.000,62777,2,T1,1,100,28.377
637379.761075,637379.761052,1673971876.562004,3587807.000,62796,1,T1,1,100,28.411
637379.898332,637379.898309,1673971876.699257,3587940.000,62813,1,T1,1,100,28.426
637380.032493,637380.032470,1673971876.833415,3588070.000,62832,1,T1,1,100,28.397
637380.164590,637380.164567,1673971876.965508,3588198.000,62849,1,T1,1,100,28.385
637380.296687,637380.296664,1673971877.097601,3588326.000,62884,1,T1,1,100,28.344
637380.430847,637380.430825,1673971877.231758,3588456.000,62900,1,T1,1,100,28.397
637380.566040,637380.566018,1673971877.366947,3588587.000,62917,1,T1,1,100,28.455
637380.698137,637380.698115,1673971877.499040,3588715.000,62934,1,T1,1,100,28.445
637380.830234,637380.830212,1673971877.631134,3588843.000,62954,1,T1,1,100,28.334
637380.964395,637380.964373,1673971877.765291,3588973.000,62988,1,T1,1,100,28.464
637381.096492,637381.096470,1673971877.897384,3589101.000,63004,1,T1,1,100,28.449
637381.229621,637381.229599,1673971878.030509,3589230.000,63021,1,T1,1,100,28.442
637381.362750,637381.362728,1673971878.163634,3589359.000,63041,1,T1,1,100,28.440
637381.493815,637381.493793,1673971878.294695,3589486.000,63072,1,T1,1,100,28.403
637381.625912,637381.625890,1673971878.426789,3589614.000,63090,1,T1,1,100,28.352
637381.758009,637381.757987,1673971878.558882,3589742.000,63109,1,T1,1,100,28.329
637381.892170,637381.892148,1673971878.693039,3589872.000,63126,1,T1,1,100,28.426
637382.026331,637382.026308,1673971878.827196,3590002.000,63160,1,T1,1,100,28.397
637382.160492,637382.160469,1673971878.961353,3590132.000,63176,1,T1,1,100,28.385
637382.292589,637382.292566,1673971879.093446,3590260.000,63197,1,T1,1,100,28.415
637382.424686,637382.424663,1673971879.225540,3590388.000,63213,1,T1,1,100,28.428
637382.557815,637382.557792,1673971879.358665,3590517.000,63245,1,T1,1,100,28.469
637382.690944,637382.690921,1673971879.491790,3590646.000,63262,1,T1,1,100,28.451
637382.823041,637382.823018,1673971879.623883,3590774.000,63281,1,T1,1,100,28.479
637382.954106,637382.954083,1673971879.754945,3590901.000,63298,1,T1,1,100,28.384
637383.087235,637383.087212,1673971879.888070,3591030.000,63332,1,T1,1,100,28.379
637383.221396,637383.221373,1673971880.022227,3591160.000,63348,1,T1,1,100,28.377
637383.353493,637383.353470,1673971880.154320,3591288.000,63369,1,T1,1,100,28.305
637383.486622,637383.486599,1673971880.287445,3591417.000,63400,1,T1,1,100,28.345
637383.619750,637383.619728,1673971880.420570,3591546.000,63417,1,T1,1,100,28.362
637383.750815,637383.750793,1673971880.551631,3591673.000,63434,1,T1,1,100,28.369
637383.883944,637383.883922,1673971880.684757,3591802.000,63453,1,T1,1,100,28.337
637384.016041,637384.016019,1673971880.816850,3591930.000,63471,1,T1,1,100,28.394
637384.148138,637384.148116,1673971880.948943,3592058.000,63489,1,T1,1,100,28.419
637384.282299,637384.282277,1673971881.083100,3592188.000,63510,1,T1,1,100,28.465
637384.415428,637384.415406,1673971881.216225,3592317.000,63541,1,T1,1,100,28.520
637384.550621,637384.550599,1673971881.351415,3592448.000,63557,1,T1,1,100,28.438
637384.682718,637384.682696,1673971881.483508,3592576.000,63575,1,T1,1,100,28.438
637384.815847,637384.815825,1673971881.616633,3592705.000,63594,1,T1,1,100,28.438
637384.947944,637384.947922,1673971881.748726,3592833.000,63617,1,T1,1,100,28.402
637385.082105,637385.082082,1673971881.882883,3592963.000,63635,1,T1,1,100,28.387
637385.216266,637385.216243,1673971882.017040,3593093.000,63652,1,T1,1,100,28.416
637385.349395,637385.349372,1673971882.150166,3593222.000,63687,1,T1,1,100,28.463
637385.483556,637385.483533,1673971882.284323,3593352.000,63703,1,T1,1,100,28.449
637385.615653,637385.615630,1673971882.416416,3593480.000,63721,1,T1,1,100,28.407
637385.748782,637385.748759,1673971882.549541,3593609.000,63737,1,T1,1,100,28.389
637385.881911,637385.881888,1673971882.682666,3593738.000,63772,1,T1,1,100,28.416
637386.016072,637386.016049,1673971882.816823,3593868.000,63791,1,T1,1,100,28.464
637386.149201,637386.149178,1673971882.949949,3593997.000,63807,1,T1,1,100,28.520
637386.281298,637386.281275,1673971883.082042,3594125.000,63842,1,T1,1,100,28.473
637386.413395,637386.413372,1673971883.214135,3594253.000,63859,1,T1,1,100,28.417
637386.547556,637386.547533,1673971883.348292,3594383.000,63875,1,T1,1,100,28.535
637386.681717,637386.681694,1673971883.482449,3594513.000,63893,1,T1,1,100,28.444
637386.817942,637386.817919,1673971883.618670,3594645.000,63927,1,T1,1,100,28.405
637386.950038,637386.950016,1673971883.750764,3594773.000,63944,1,T1,1,100,28.459
637387.083167,637387.083145,1673971883.883889,3594902.000,63963,1,T1,1,100,28.447
637387.215264,637387.215242,1673971884.015982,3595030.000,63979,1,T1,1,100,28.512
637387.348393,637387.348371,1673971884.149107,3595159.000,64014,1,T1,1,100,28.470
637387.482554,637387.482532,1673971884.283264,3595289.000,64031,1,T1,1,100,28.452
637387.616715,637387.616693,1673971884.417422,3595419.000,64048,1,T1,1,100,28.585
637387.749844,637387.749822,1673971884.550547,3595548.000,64082,1,T1,1,100,28.395
637387.880909,637387.880887,1673971884.681608,3595675.000,64099,1,T1,1,100,28.455
637388.013006,637388.012984,1673971884.813701,3595803.000,64118,1,T1,1,100,28.445
637388.148199,637388.148177,1673971884.948890,3595934.000,64135,1,T1,1,100,28.370
637388.283392,637388.283370,1673971885.084080,3596065.000,64170,1,T1,1,100,28.515
637388.416521,637388.416498,1673971885.217205,3596194.000,64186,1,T1,1,100,28.400
637388.548618,637388.548595,1673971885.349298,3596322.000,64203,1,T1,1,100,28.457
637388.680715,637388.680692,1673971885.481391,3596450.000,64220,1,T1,1,100,28.517
637388.815908,637388.815885,1673971885.616580,3596581.000,64254,1,T1,1,100,28.401
637388.950069,637388.950046,1673971885.750737,3596711.000,64272,1,T1,1,100,28.422
637389.086294,637389.086271,1673971885.886958,3596843.000,64290,1,T1,1,100,28.466
637389.218391,637389.218368,1673971886.019052,3596971.000,64307,1,T1,1,100,28.450
637389.349456,637389.349433,1673971886.150113,3597098.000,64342,1,T1,1,100,28.407
637389.482585,637389.482562,1673971886.283238,3597227.000,64358,1,T1,1,100,28.424
637389.615714,637389.615691,1673971886.416363,3597356.000,64376,1,T1,1,100,28.467
637389.750907,637389.750884,1673971886.551552,3597487.000,64407,1,T1,1,100,28.557
637389.885068,637389.885045,1673971886.685709,3597617.000,64426,1,T1,1,100,28.418
637390.017165,637390.017142,1673971886.817803,3597745.000,64446,1,T1,1,100,28.429
637390.149778,637390.149755,1673971886.950412,3597873.500,64471,2,T1,1,100,28.505
637390.282391,637390.282368,1673971887.083021,3598002.000,64471,2,T1,1,100,28.431
637390.415519,637390.415497,1673971887.216146,3598131.000,64487,1,T1,1,100,28.435
637390.547616,637390.547594,1673971887.348239,3598259.000,64519,1,T1,1,100,28.401
637390.679713,637390.679691,1673971887.480333,3598387.000,64536,1,T1,1,100,28.457
637390.810778,637390.810756,1673971887.611394,3598514.000,64555,1,T1,1,100,28.411
637390.943907,637390.943885,1673971887.744519,3598643.000,64573,1,T1,1,100,28.426
637391.077036,637391.077014,1673971887.877644,3598772.000,64606,1,T1,1,100,28.468
637391.210165,637391.210143,1673971888.010769,3598901.000,64622,1,T1,1,100,28.344
637391.343294,637391.343272,1673971888.143894,3599030.000,64643,1,T1,1,100,28.362
637391.474359,637391.474336,1673971888.274956,3599157.000,64659,1,T1,1,100,28.440
637391.607488,637391.607465,1673971888.408081,3599286.000,64691,1,T1,1,100,28.439
637391.739585,637391.739562,1673971888.540174,3599414.000,64708,1,T1,1,100,28.544
637391.871682,637391.871659,1673971888.672267,3599542.000,64727,1,T1,1,100,28.484
637392.003779,637392.003756,1673971888.804360,3599670.000,64761,1,T1,1,100,28.422
637392.137940,637392.137917,1673971888.938518,3599800.000,64778,1,T1,1,100,28.431
637392.271069,637392.271046,1673971889.071643,3599929.000,64795,1,T1,1,100,28.399
637392.403166,637392.403143,1673971889.203736,3600057.000,64815,1,T1,1,100,28.421
637392.536295,637392.536272,1673971889.336861,3600186.000,64847,1,T1,1,100,28.395
637392.669424,637392.669401,1673971889.469986,3600315.000,64863,1,T1,1,100,28.455
637392.801521,637392.801498,1673971889.602080,3600443.000,64883,1,T1,1,100,28.480
637392.932586,637392.932563,1673971889.733141,3600570.000,64900,1,T1,1,100,28.527
637393.065715,637393.065692,1673971889.866266,3600699.000,64933,1,T1,1,100,28.441
637393.198844,637393.198821,1673971889.999391,3600828.000,64954,1,T1,1,100,28.474
637393.331973,637393.331950,1673971890.132516,3600957.000,64970,1,T1,1,100,28.418
637393.465101,637393.465079,1673971890.265641,3601086.000,64987,1,T1,1,100,28.429
637393.600294,637393.600272,1673971890.400831,3601217.000,65004,1,T1,1,100,28.540
637393.733423,637393.733401,1673971890.533956,3601346.000,65035,1,T1,1,100,28.588
637393.866552,637393.866530,1673971890.667081,3601475.000,65055,1,T1,1,100,28.609
637393.998649,637393.998627,1673971890.799174,3601603.000,65074,1,T1,1,100,28.512
637394.129714,637394.129692,1673971890.930235,3601730.000,65091,1,T1,1,100,28.434
637394.263875,637394.263853,1673971891.064393,3601860.000,65123,1,T1,1,100,28.436
637394.395972,637394.395949,1673971891.196486,3601988.000,65142,1,T1,1,100,28.472
637394.530133,637394.530110,1673971891.330643,3602118.000,65159,1,T1,1,100,28.453
637394.662230,637394.662207,1673971891.462736,3602246.000,65191,1,T1,1,100,28.444
637394.795359,637394.795336,1673971891.595861,3602375.000,65210,1,T1,1,100,28.334
637394.927456,637394.927433,1673971891.727954,3602503.000,65228,1,T1,1,100,28.464
637395.061617,637395.061594,1673971891.862112,3602633.000,65246,1,T1,1,100,28.449
637395.195778,637395.195755,1673971891.996269,3602763.000,65278,1,T1,1,100,28.442
637395.328907,637395.328884,1673971892.129394,3602892.000,65298,1,T1,1,100,28.440
637395.462036,637395.462013,1673971892.262519,3603021.000,65320,1,T1,1,100,28.403
637395.593101,637395.593078,1673971892.393580,3603148.000,65338,1,T1,1,100,28.423
637395.726230,637395.726207,1673971892.526706,3603277.000,65354,1,T1,1,100,28.396
637395.861423,637395.861400,1673971892.661895,3603408.000,65374,1,T1,1,100,28.384
637395.995584,637395.995561,1673971892.796052,3603538.000,65408,1,T1,1,100,28.450
637396.128713,637396.128690,1673971892.929177,3603667.000,65424,1,T1,1,100,28.336
637396.260810,637396.260787,1673971893.061270,3603795.000,65442,1,T1,1,100,28.429
637396.392907,637396.392884,1673971893.193363,3603923.000,65461,1,T1,1,100,28.398
637396.529132,637396.529109,1673971893.329584,3604055.000,65493,1,T1,1,100,28.456
637396.663293,637396.663270,1673971893.463742,3604185.000,65510,1,T1,1,100,28.410
637396.799518,637396.799495,1673971893.599963,3604317.000,65529,1,T1,1,100,28.426
637396.931614,637396.931592,1673971893.732056,3604445.000,27,1,T1,1,100,28.432
637397.062679,637397.062657,1673971893.863117,3604572.000,44,1,T1,1,100,28.471
637397.195808,637397.195786,1673971893.996242,3604701.000,60,1,T1,1,100,28.487
637397.329969,637397.329947,1673971894.130399,3604831.000,81,1,T1,1,100,28.495
637397.464130,637397.464108,1673971894.264557,3604961.000,97,1,T1,1,100,28.533
637397.598291,637397.598269,1673971894.398714,3605091.000,129,1,T1,1,100,28.479
637397.728324,637397.728301,1673971894.528743,3605217.000,146,1,T1,1,100,28.491
637397.860421,637397.860398,1673971894.660836,3605345.000,165,1,T1,1,100,28.496
637397.992518,637397.992495,1673971894.792929,3605473.000,183,1,T1,1,100,28.427
637398.127711,637398.127688,1673971894.928118,3605604.000,216,1,T1,1,100,28.398
637398.262904,637398.262881,1673971895.063308,3605735.000,233,1,T1,1,100,28.527
637398.395001,637398.394978,1673971895.195401,3605863.000,253,1,T1,1,100,28.512
637398.527098,637398.527075,1673971895.327494,3605991.000,285,1,T1,1,100,28.434
637398.659195,637398.659172,1673971895.459587,3606119.000,301,1,T1,1,100,28.436
637398.796452,637398.796429,1673971895.596840,3606252.000,318,1,T1,1,100,28.472
637398.930613,637398.930590,1673971895.730998,3606382.000,337,1,T1,1,100,28.488
637399.063742,637399.063719,1673971895.864123,3606511.000,371,1,T1,1,100,28.530
637399.194807,637399.194784,1673971895.995184,3606638.000,388,1,T1,1,100,28.655
637399.327936,637399.327913,1673971896.128309,3606767.000,408,1,T1,1,100,28.496
637399.461065,637399.461042,1673971896.261434,3606896.000,439,1,T1,1,100,28.498
637399.594194,637399.594171,1673971896.394559,3607025.000,457,1,T1,1,100,28.535
637399.729387,637399.729364,1673971896.529749,3607156.000,473,1,T1,1,100,28.515
637399.863548,637399.863525,1673971896.663906,3607286.000,490,1,T1,1,100,28.471
637399.994613,637399.994590,1673971896.794967,3607413.000,527,1,T1,1,100,28.417
637400.127742,637400.127719,1673971896.928092,3607542.000,543,1,T1,1,100,28.464
637400.260870,637400.260848,1673971897.061217,3607671.000,561,1,T1,1,100,28.449
637400.393999,637400.393977,1673971897.194342,3607800.000,580,1,T1,1,100,28.442
637400.525064,637400.525042,1673971897.325404,3607927.000,612,1,T1,1,100,28.546
637400.657161,637400.657139,1673971897.457497,3608055.000,634,1,T1,1,100,28.520
637400.790290,637400.790267,1673971897.590622,3608184.000,653,1,T1,1,100,28.473
637400.923419,637400.923396,1673971897.723747,3608313.000,671,1,T1,1,100,28.559
637401.056548,637401.056525,1673971897.856872,3608442.000,689,1,T1,1,100,28.526
637401.188645,637401.188622,1673971897.988966,3608570.000,721,1,T1,1,100,28.476
637401.322806,637401.322783,1673971898.123123,3608700.000,741,1,T1,1,100,28.454
637401.453871,637401.453848,1673971898.254184,3608827.000,757,1,T1,1,100,28.445
637401.587000,637401.586977,1673971898.387309,3608956.000,774,1,T1,1,100,28.512
637401.719097,637401.719074,1673971898.519402,3609084.000,809,1,T1,1,100,28.470
637401.851194,637401.851171,1673971898.651495,3609212.000,825,1,T1,1,100,28.522
637401.983291,637401.983268,1673971898.783589,3609340.000,845,1,T1,1,100,28.510
637402.117452,637402.117429,1673971898.917746,3609470.000,861,1,T1,1,100,28.433
637402.249549,637402.249526,1673971899.049839,3609598.000,893,1,T1,1,100,28.436
637402.382678,637402.382655,1673971899.182964,3609727.000,913,1,T1,1,100,28.437
637402.515807,637402.515784,1673971899.316089,3609856.000,929,1,T1,1,100,28.473
637402.646872,637402.646849,1673971899.447151,3609983.000,947,1,T1,1,100,28.453
637402.783097,637402.783074,1673971899.583372,3610115.000,978,1,T1,1,100,28.444
