LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
637339.296063,637339.296041,1673971836.098143,3548597,56264,8,LM,1,100,637339.2024487,637339.2024737,637339.2230444,sync_event,
637339.818259,637339.818237,1673971836.620324,3549103,56350,8,LM,1,100,637339.7031543,637339.7031793,637339.7233910,sync_event,
637340.243446,637340.243424,1673971837.045499,3549515,56420,8,LM,1,100,637340.2037962,637340.2038212,637340.2231448,sync_event,
637340.758417,637340.758396,1673971837.560456,3550014,56505,8,LM,1,100,637340.7041181,637340.7041207,637340.7234727,sync_event,
637341.247589,637341.247567,1673971838.049613,3550488,56576,8,LM,1,100,637341.2051797,637341.2051823,637341.2230926,sync_event,
637341.761529,637341.761507,1673971838.563538,3550986,56660,8,LM,1,100,637341.7053329,637341.7053355,637341.7093291,sync_event,
637342.308493,637342.308471,1673971839.110487,3551516,56748,8,LM,1,100,637342.2062259,637342.2062285,637342.2718288,sync_event,
637342.856489,637342.856467,1673971839.658467,3552047,56824,8,LM,1,100,637342.7062888,637342.7063005,637342.7232777,sync_event,
637343.287868,637343.287846,1673971840.089834,3552465,56896,8,LM,1,100,637343.2062918,637343.2063035,637343.2229983,sync_event,
637343.799743,637343.799721,1673971840.601695,3552961,56982,8,LM,1,100,637343.7073174,637343.7073291,637343.7237789,sync_event,
637344.241443,637344.241421,1673971841.043382,3553389,57052,8,LM,1,100,637344.2073301,637344.2073418,637344.2232362,sync_event,
637344.744030,637344.744008,1673971841.545955,3553876,57136,8,LM,1,100,637344.7083161,637344.7083389,637344.7234928,sync_event,
637345.360139,637345.360117,1673971842.162046,3554473,57240,8,LM,1,100,637345.2090082,637345.2090310,637345.2229737,sync_event,
637345.769846,637345.769824,1673971842.571741,3554870,57309,8,LM,1,100,637345.7093599,637345.7093827,637345.7251911,sync_event,
637346.366346,637346.366324,1673971843.168225,3555448,57396,8,LM,1,100,637346.2094720,637346.2094948,637346.2373993,sync_event,
637346.761605,637346.761583,1673971843.563472,3555831,57465,8,LM,1,100,637346.7104200,637346.7104338,637346.7231280,sync_event,
637347.273480,637347.273458,1673971844.075333,3556327,57551,8,LM,1,100,637347.2107210,637347.2107348,637347.2227986,sync_event,
637347.797740,637347.797718,1673971844.599578,3556835,57636,8,LM,1,100,637347.7116594,637347.7116732,637347.7230268,sync_event,
637348.397336,637348.397315,1673971845.199158,3557416,57714,8,LM,1,100,637348.2126383,637348.2126521,637348.2227490,sync_event,
637348.739963,637348.739941,1673971845.541774,3557748,57768,8,LM,1,100,637348.7128404,637348.7128486,637348.7235696,sync_event,
637349.238423,637349.238401,1673971846.040220,3558231,57855,8,LM,1,100,637349.2127870,637349.2127952,637349.2230536,sync_event,
637349.849371,637349.849349,1673971846.651151,3558823,57955,8,LM,1,100,637349.7131618,637349.7131700,637349.7245536,sync_event,
637350.280750,637350.280728,1673971847.082518,3559241,58025,8,LM,1,100,637350.2140037,637350.2140118,637350.2229294,sync_event,
637350.917499,637350.917477,1673971847.719248,3559858,58127,8,LM,1,100,637350.7151268,637350.7151440,637350.7742274,sync_event,
637351.239485,637351.239463,1673971848.041225,3560170,58182,8,LM,1,100,637351.2162034,637351.2162207,637351.2229616,sync_event,
637351.782321,637351.782299,1673971848.584046,3560696,58268,8,LM,1,100,637351.7167739,637351.7167911,637351.7231424,sync_event,
637352.295229,637352.295207,1673971849.096939,3561193,58354,8,LM,1,100,637352.2171288,637352.2171460,637352.2230413,sync_event,
637352.808136,637352.808114,1673971849.609832,3561690,58438,8,LM,1,100,637352.7174695,637352.7174823,637352.7251458,sync_event,
637353.314852,637353.314830,1673971850.116533,3562181,58514,8,LM,1,100,637353.2176797,637353.2176925,637353.2229425,sync_event,
637353.752423,637353.752401,1673971850.554092,3562605,58582,8,LM,1,100,637353.7187135,637353.7187263,637353.7247672,sync_event,
637354.258107,637354.258085,1673971851.059761,3563095,58670,8,LM,1,100,637354.2196828,637354.2196956,637354.2241810,sync_event,
637354.879375,637354.879353,1673971851.681012,3563697,58772,8,LM,1,100,637354.7196505,637354.7196690,637354.7453157,sync_event,
637355.293210,637355.293188,1673971852.094835,3564098,58842,8,LM,1,100,637355.2207210,637355.2207395,637355.2229662,sync_event,
637355.810246,637355.810224,1673971852.611856,3564599,58927,8,LM,1,100,637355.7217510,637355.7217696,637355.7234140,sync_event,
637356.282905,637356.282883,1673971853.084502,3565057,58998,8,LM,1,100,637356.2221443,637356.2221628,637356.2563221,sync_event,
637356.795813,637356.795791,1673971853.597395,3565554,59083,8,LM,1,100,637356.7227146,637356.7227306,637356.7563046,sync_event,
637357.306657,637357.306635,1673971854.108225,3566049,59170,8,LM,1,100,637357.2234765,637357.2234925,637357.2563475,sync_event,
637357.827820,637357.827798,1673971854.629374,3566554,59255,8,LM,1,100,637357.7241767,637357.7241927,637357.7562605,sync_event,
637358.598730,637358.598708,1673971855.400261,3567301,59364,8,LM,1,100,637358.2245430,637358.2245590,637358.2563381,sync_event,
637358.782427,637358.782405,1673971855.583953,3567479,59399,8,LM,1,100,637358.7253212,637358.7253481,637358.7404385,sync_event,
637359.313911,637359.313889,1673971856.115422,3567994,59486,8,LM,1,100,637359.2261082,637359.2261351,637359.2712628,sync_event,
637359.890803,637359.890781,1673971856.692298,3568553,59572,8,LM,1,100,637359.7260980,637359.7261248,637359.7562134,sync_event,
637360.286062,637360.286040,1673971857.087545,3568936,59643,8,LM,1,100,637360.2269431,637360.2269700,637360.2562460,sync_event,
637360.810322,637360.810300,1673971857.611790,3569444,59729,8,LM,1,100,637360.7269042,637360.7269204,637360.7563215,sync_event,
637361.330454,637361.330432,1673971858.131907,3569948,59815,8,LM,1,100,637361.2274514,637361.2274675,637361.2562938,sync_event,
637361.843361,637361.843339,1673971858.644800,3570445,59900,8,LM,1,100,637361.7277751,637361.7277912,637361.7562124,sync_event,
637362.277837,637362.277814,1673971859.079263,3570866,59971,8,LM,1,100,637362.2287179,637362.2287341,637362.2566362,sync_event,
637362.841313,637362.841290,1673971859.642723,3571412,60056,8,LM,1,100,637362.7290048,637362.7290280,637362.7563019,sync_event,
637363.284044,637363.284022,1673971860.085442,3571841,60127,8,LM,1,100,637363.2300045,637363.2300278,637363.2461782,sync_event,
637363.897056,637363.897034,1673971860.698437,3572435,60217,8,LM,1,100,637363.7302395,637363.7302627,637363.8053409,sync_event,
637364.302635,637364.302613,1673971861.104004,3572828,60287,8,LM,1,100,637364.2301743,637364.2301976,637364.2565289,sync_event,
637364.819671,637364.819649,1673971861.621025,3573329,60373,8,LM,1,100,637364.7310965,637364.7311047,637364.7562615,sync_event,
637365.288202,637365.288180,1673971862.089543,3573783,60443,8,LM,1,100,637365.2319968,637365.2320050,637365.2728170,sync_event,
