LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
637298.067366,637298.067344,1673971794.870617,3508647.000,49687,4,EM,1,100,RS
637298.126190,637298.126169,1673971794.929440,3508704.000,49687,4,EM,1,100,RB
637298.185014,637298.184993,1673971794.988263,3508761.000,49687,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637298.243839,637298.243818,1673971795.047086,3508818.000,49687,4,EM,1,100,PS
637298.295697,637298.295676,1673971795.098943,3508868.250,49720,4,EM,1,100,RS
637298.347556,637298.347534,1673971795.150800,3508918.500,49720,4,EM,1,100,RB
637298.399414,637298.399393,1673971795.202656,3508968.750,49720,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637298.451272,637298.451251,1673971795.254513,3509019.000,49720,4,EM,1,100,PS
637298.504421,637298.504400,1673971795.307660,3509070.500,49752,4,EM,1,100,RS
637298.557569,637298.557548,1673971795.360807,3509122.000,49752,4,EM,1,100,RB
637298.610717,637298.610696,1673971795.413954,3509173.500,49752,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637298.663866,637298.663845,1673971795.467101,3509225.000,49752,4,EM,1,100,PS
637298.715466,637298.715445,1673971795.518700,3509275.000,49789,4,EM,1,100,RS
637298.767067,637298.767045,1673971795.570299,3509325.000,49789,4,EM,1,100,RB
637298.818667,637298.818646,1673971795.621897,3509375.000,49789,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637298.870267,637298.870246,1673971795.673496,3509425.000,49789,4,EM,1,100,PS
637298.922126,637298.922105,1673971795.725353,3509475.250,49822,4,EM,1,100,RS
637298.973984,637298.973963,1673971795.777210,3509525.500,49822,4,EM,1,100,RB
637299.025842,637299.025821,1673971795.829067,3509575.750,49822,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637299.077701,637299.077680,1673971795.880924,3509626.000,49822,4,EM,1,100,PS
637299.129817,637299.129796,1673971795.933039,3509676.500,49859,4,EM,1,100,RS
637299.181934,637299.181912,1673971795.985154,3509727.000,49859,4,EM,1,100,RB
637299.234050,637299.234029,1673971796.037269,3509777.500,49859,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637299.286166,637299.286145,1673971796.089384,3509828.000,49859,4,EM,1,100,PS
637299.337767,637299.337746,1673971796.140982,3509878.000,49892,4,EM,1,100,RS
637299.389367,637299.389346,1673971796.192581,3509928.000,49892,4,EM,1,100,RB
637299.440967,637299.440946,1673971796.244180,3509978.000,49892,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637299.492568,637299.492547,1673971796.295779,3510028.000,49892,4,EM,1,100,PS
637299.544426,637299.544405,1673971796.347636,3510078.250,49924,4,EM,1,100,RS
637299.596285,637299.596263,1673971796.399493,3510128.500,49924,4,EM,1,100,RB
637299.648143,637299.648122,1673971796.451350,3510178.750,49924,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637299.700001,637299.699980,1673971796.503207,3510229.000,49924,4,EM,1,100,PS
637299.751860,637299.751838,1673971796.555064,3510279.250,49961,4,EM,1,100,RS
637299.803718,637299.803697,1673971796.606920,3510329.500,49961,4,EM,1,100,RB
637299.855576,637299.855555,1673971796.658777,3510379.750,49961,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637299.907435,637299.907414,1673971796.710634,3510430.000,49961,4,EM,1,100,PS
637299.959293,637299.959272,1673971796.762491,3510480.250,49993,4,EM,1,100,RS
637300.011152,637300.011130,1673971796.814348,3510530.500,49993,4,EM,1,100,RB
637300.063010,637300.062989,1673971796.866205,3510580.750,49993,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637300.114868,637300.114847,1673971796.918062,3510631.000,49993,4,EM,1,100,PS
637300.166727,637300.166705,1673971796.969919,3510681.250,50031,4,EM,1,100,RS
637300.218585,637300.218564,1673971797.021776,3510731.500,50031,4,EM,1,100,RB
637300.270443,637300.270422,1673971797.073633,3510781.750,50031,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637300.322302,637300.322281,1673971797.125489,3510832.000,50031,4,EM,1,100,PS
637300.387834,637300.387813,1673971797.191020,3510895.500,50070,4,EM,1,100,RS
637300.453367,637300.453346,1673971797.256551,3510959.000,50070,4,EM,1,100,RB
637300.518899,637300.518878,1673971797.322081,3511022.500,50070,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637300.584432,637300.584410,1673971797.387612,3511086.000,50070,4,EM,1,100,PS
637300.636290,637300.636269,1673971797.439469,3511136.250,50106,4,EM,1,100,RS
637300.688148,637300.688127,1673971797.491326,3511186.500,50106,4,EM,1,100,RB
637300.740007,637300.739986,1673971797.543183,3511236.750,50106,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637300.791865,637300.791844,1673971797.595040,3511287.000,50106,4,EM,1,100,PS
637300.843724,637300.843702,1673971797.646897,3511337.250,50138,4,EM,1,100,RS
637300.895582,637300.895561,1673971797.698753,3511387.500,50138,4,EM,1,100,RB
637300.947440,637300.947419,1673971797.750610,3511437.750,50138,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637300.999299,637300.999277,1673971797.802467,3511488.000,50138,4,EM,1,100,PS
637301.053479,637301.053458,1673971797.856646,3511540.500,50177,4,EM,1,100,RS
637301.107659,637301.107638,1673971797.910825,3511593.000,50177,4,EM,1,100,RB
637301.161840,637301.161819,1673971797.965004,3511645.500,50177,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637301.216020,637301.215999,1673971798.019183,3511698.000,50177,4,EM,1,100,PS
637301.267879,637301.267857,1673971798.071039,3511748.250,50208,4,EM,1,100,RS
637301.319737,637301.319716,1673971798.122896,3511798.500,50208,4,EM,1,100,RB
637301.371595,637301.371574,1673971798.174753,3511848.750,50208,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637301.423454,637301.423433,1673971798.226610,3511899.000,50208,4,EM,1,100,PS
637301.490018,637301.489997,1673971798.293173,3511963.500,50242,4,EM,1,100,RS
637301.556583,637301.556561,1673971798.359735,3512028.000,50242,4,EM,1,100,RB
637301.623147,637301.623126,1673971798.426298,3512092.500,50242,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637301.689712,637301.689690,1673971798.492861,3512157.000,50242,4,EM,1,100,PS
637301.741570,637301.741549,1673971798.544718,3512207.250,50279,4,EM,1,100,RS
637301.793428,637301.793407,1673971798.596574,3512257.500,50279,4,EM,1,100,RB
637301.845287,637301.845266,1673971798.648431,3512307.750,50279,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637301.897145,637301.897124,1673971798.700288,3512358.000,50279,4,EM,1,100,PS
637301.951584,637301.951562,1673971798.754725,3512410.750,50311,4,EM,1,100,RS
637302.006022,637302.006001,1673971798.809162,3512463.500,50311,4,EM,1,100,RB
637302.060460,637302.060439,1673971798.863599,3512516.250,50311,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637302.114899,637302.114878,1673971798.918036,3512569.000,50311,4,EM,1,100,PS
637302.166757,637302.166736,1673971798.969893,3512619.250,50349,4,EM,1,100,RS
637302.218616,637302.218594,1673971799.021749,3512669.500,50349,4,EM,1,100,RB
637302.270474,637302.270453,1673971799.073606,3512719.750,50349,4,EM,1,100,2023-01-17_18-09-42-832110.csv
