LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
637561.842276,637561.842250,1673972058.638029,3764241.000,26957,3,AY,1,100,-0.068
637561.886652,637561.886627,1673972058.682404,3764284.000,26957,3,AY,1,100,-0.067
637561.931028,637561.931003,1673972058.726779,3764327.000,26957,3,AY,1,100,-0.067
637561.970761,637561.970735,1673972058.766510,3764365.500,26977,2,AY,1,100,-0.068
637562.010493,637562.010468,1673972058.806242,3764404.000,26977,2,AY,1,100,-0.068
637562.050053,637562.050028,1673972058.845801,3764442.333,26994,3,AY,1,100,-0.066
637562.089613,637562.089588,1673972058.885360,3764480.667,26994,3,AY,1,100,-0.067
637562.129174,637562.129148,1673972058.924919,3764519.000,26994,3,AY,1,100,-0.068
637562.168734,637562.168709,1673972058.964478,3764557.333,27010,3,AY,1,100,-0.069
637562.208294,637562.208269,1673972059.004037,3764595.667,27010,3,AY,1,100,-0.068
637562.247855,637562.247829,1673972059.043597,3764634.000,27010,3,AY,1,100,-0.068
637562.287587,637562.287562,1673972059.083328,3764672.500,27026,2,AY,1,100,-0.069
637562.327319,637562.327294,1673972059.123059,3764711.000,27026,2,AY,1,100,-0.067
637562.367567,637562.367542,1673972059.163306,3764750.000,27042,3,AY,1,100,-0.068
637562.407816,637562.407790,1673972059.203553,3764789.000,27042,3,AY,1,100,-0.067
637562.448064,637562.448039,1673972059.243800,3764828.000,27042,3,AY,1,100,-0.069
637562.487796,637562.487771,1673972059.283531,3764866.500,27062,2,AY,1,100,-0.068
637562.527529,637562.527503,1673972059.323263,3764905.000,27062,2,AY,1,100,-0.068
637562.567433,637562.567408,1673972059.363166,3764943.667,27079,3,AY,1,100,-0.068
637562.607337,637562.607312,1673972059.403069,3764982.333,27079,3,AY,1,100,-0.068
637562.647241,637562.647216,1673972059.442972,3765021.000,27079,3,AY,1,100,-0.070
637562.687490,637562.687464,1673972059.483219,3765060.000,27097,2,AY,1,100,-0.068
637562.727738,637562.727713,1673972059.523466,3765099.000,27097,2,AY,1,100,-0.070
637562.767642,637562.767617,1673972059.563370,3765137.667,27112,3,AY,1,100,-0.068
637562.807547,637562.807521,1673972059.603273,3765176.333,27112,3,AY,1,100,-0.067
637562.847451,637562.847426,1673972059.643176,3765215.000,27112,3,AY,1,100,-0.067
637562.887011,637562.886986,1673972059.682735,3765253.333,27130,3,AY,1,100,-0.068
637562.926571,637562.926546,1673972059.722294,3765291.667,27130,3,AY,1,100,-0.069
637562.966132,637562.966106,1673972059.761853,3765330.000,27130,3,AY,1,100,-0.066
637563.013088,637563.013063,1673972059.808808,3765375.500,27149,2,AY,1,100,-0.067
637563.060044,637563.060019,1673972059.855763,3765421.000,27149,2,AY,1,100,-0.067
637563.099949,637563.099923,1673972059.895667,3765459.667,27166,3,AY,1,100,-0.067
