LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
637363.955881,637363.955858,1673971860.757260,3572492.000,60253,1,B%,1,100,50
637364.951768,637364.951746,1673971861.753119,3573457.000,60411,1,B%,1,100,50
637365.951783,637365.951761,1673971862.753105,3574426.000,60581,1,B%,1,100,50
637366.951798,637366.951776,1673971863.753092,3575395.000,60735,1,B%,1,100,50
637367.947685,637367.947663,1673971864.748951,3576360.000,60908,1,B%,1,100,50
637368.949765,637368.949742,1673971865.751002,3577331.000,61063,1,B%,1,100,50
637369.951844,637369.951822,1673971866.753052,3578302.000,61225,1,B%,1,100,50
637370.950827,637370.950805,1673971867.752007,3579270.000,61380,1,B%,1,100,49
637371.947746,637371.947724,1673971868.748898,3580236.000,61552,1,B%,1,100,49
637372.947762,637372.947739,1673971869.748885,3581205.000,61707,1,B%,1,100,50
637373.940553,637373.940530,1673971870.741648,3582167.000,61880,1,B%,1,100,49
637374.936440,637374.936417,1673971871.737507,3583132.000,62025,1,B%,1,100,49
637375.937487,637375.937465,1673971872.738525,3584102.000,62196,1,B%,1,100,49
637376.937502,637376.937480,1673971873.738512,3585071.000,62354,1,B%,1,100,50
637377.936485,637377.936463,1673971874.737467,3586039.000,62525,1,B%,1,100,50
637378.934437,637378.934414,1673971875.735390,3587006.000,62681,1,B%,1,100,50
637379.937548,637379.937525,1673971876.738472,3587978.000,62825,1,B%,1,100,50
637380.936531,637380.936509,1673971877.737427,3588946.000,62980,1,B%,1,100,50
637381.932418,637381.932396,1673971878.733286,3589911.000,63153,1,B%,1,100,49
637382.928305,637382.928283,1673971879.729145,3590876.000,63309,1,B%,1,100,49
637383.922129,637383.922106,1673971880.722940,3591839.000,63483,1,B%,1,100,50
637384.921112,637384.921089,1673971881.721895,3592807.000,63629,1,B%,1,100,50
637385.922159,637385.922137,1673971882.722914,3593777.000,63784,1,B%,1,100,50
637386.923206,637386.923184,1673971883.723932,3594747.000,63956,1,B%,1,100,50
637387.919093,637387.919071,1673971884.719791,3595712.000,64111,1,B%,1,100,50
637388.922205,637388.922182,1673971885.722874,3596684.000,64284,1,B%,1,100,49
637389.923252,637389.923229,1673971886.723893,3597654.000,64438,1,B%,1,100,49
637390.917075,637390.917052,1673971887.717688,3598617.000,64585,1,B%,1,100,50
637391.910898,637391.910876,1673971888.711483,3599580.000,64755,1,B%,1,100,50
637392.906785,637392.906763,1673971889.707341,3600545.000,64912,1,B%,1,100,50
637393.904737,637393.904714,1673971890.705264,3601512.000,65067,1,B%,1,100,50
637394.900624,637394.900601,1673971891.701123,3602477.000,65240,1,B%,1,100,50
637395.901671,637395.901648,1673971892.702142,3603447.000,65401,1,B%,1,100,49
637396.904782,637396.904760,1673971893.705225,3604419.000,20,1,B%,1,100,49
637397.898605,637397.898583,1673971894.699019,3605382.000,194,1,B%,1,100,50
637398.902749,637398.902726,1673971895.703134,3606355.000,348,1,B%,1,100,50
637399.901732,637399.901709,1673971896.702089,3607323.000,520,1,B%,1,100,49
637400.896587,637400.896564,1673971897.696916,3608287.000,683,1,B%,1,100,50
637401.890410,637401.890387,1673971898.690711,3609250.000,837,1,B%,1,100,50
637402.889393,637402.889371,1673971899.689666,3610218.000,1007,1,B%,1,100,50
637403.886313,637403.886290,1673971900.686556,3611184.000,1166,1,B%,1,100,50
637404.883232,637404.883209,1673971901.683447,3612150.000,1320,1,B%,1,100,49
637405.888407,637405.888384,1673971902.688594,3613124.000,1493,1,B%,1,100,49
637406.888422,637406.888399,1673971903.688581,3614093.000,1653,1,B%,1,100,49
637407.885341,637407.885319,1673971904.685472,3615059.000,1826,1,B%,1,100,49
637408.885357,637408.885334,1673971905.685458,3616028.000,1980,1,B%,1,100,50
637409.878148,637409.878125,1673971906.678221,3616990.000,2153,1,B%,1,100,50
637410.875067,637410.875044,1673971907.675112,3617956.000,2308,1,B%,1,100,49
