LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
637521.645930,637521.645905,1673972018.442826,3725291.333,20434,3,PG,1,100,824
637521.685834,637521.685809,1673972018.482729,3725330.000,20434,3,PG,1,100,811
637521.725738,637521.725714,1673972018.522632,3725368.667,20454,3,PG,1,100,810
637521.765643,637521.765618,1673972018.562536,3725407.333,20454,3,PG,1,100,809
637521.805547,637521.805522,1673972018.602439,3725446.000,20454,3,PG,1,100,814
637521.845795,637521.845771,1673972018.642686,3725485.000,20470,2,PG,1,100,813
637521.886044,637521.886019,1673972018.682933,3725524.000,20470,2,PG,1,100,816
637521.925260,637521.925235,1673972018.722148,3725562.000,20489,3,PG,1,100,809
637521.964476,637521.964451,1673972018.761363,3725600.000,20489,3,PG,1,100,822
637522.003692,637522.003668,1673972018.800578,3725638.000,20489,3,PG,1,100,811
637522.043425,637522.043400,1673972018.840310,3725676.500,20505,2,PG,1,100,815
637522.083157,637522.083132,1673972018.880041,3725715.000,20505,2,PG,1,100,812
637522.123061,637522.123037,1673972018.919944,3725753.667,20522,3,PG,1,100,806
637522.162966,637522.162941,1673972018.959847,3725792.333,20522,3,PG,1,100,815
637522.202870,637522.202845,1673972018.999750,3725831.000,20522,3,PG,1,100,809
637522.242774,637522.242749,1673972019.039653,3725869.667,20543,3,PG,1,100,807
637522.282678,637522.282654,1673972019.079556,3725908.333,20543,3,PG,1,100,805
637522.322583,637522.322558,1673972019.119460,3725947.000,20543,3,PG,1,100,813
637522.362831,637522.362806,1673972019.159707,3725986.000,20561,2,PG,1,100,819
637522.403079,637522.403055,1673972019.199954,3726025.000,20561,2,PG,1,100,813
637522.442984,637522.442959,1673972019.239857,3726063.667,20578,3,PG,1,100,808
637522.482888,637522.482863,1673972019.279760,3726102.333,20578,3,PG,1,100,815
637522.522792,637522.522767,1673972019.319663,3726141.000,20578,3,PG,1,100,817
637522.561664,637522.561640,1673972019.358535,3726178.667,20595,3,PG,1,100,809
637522.600537,637522.600512,1673972019.397406,3726216.333,20595,3,PG,1,100,804
637522.639409,637522.639384,1673972019.436277,3726254.000,20595,3,PG,1,100,823
637522.679657,637522.679633,1673972019.476524,3726293.000,20612,2,PG,1,100,810
637522.719906,637522.719881,1673972019.516771,3726332.000,20612,2,PG,1,100,816
637522.761186,637522.761161,1673972019.558050,3726372.000,20631,2,PG,1,100,815
637522.802466,637522.802441,1673972019.599329,3726412.000,20631,2,PG,1,100,821
637522.846842,637522.846818,1673972019.643704,3726455.000,20650,3,PG,1,100,816
637522.891219,637522.891194,1673972019.688080,3726498.000,20650,3,PG,1,100,808
637522.935595,637522.935570,1673972019.732455,3726541.000,20650,3,PG,1,100,816
637522.975499,637522.975475,1673972019.772358,3726579.667,20666,3,PG,1,100,813
637523.015404,637523.015379,1673972019.812261,3726618.333,20666,3,PG,1,100,810
637523.055308,637523.055283,1673972019.852164,3726657.000,20666,3,PG,1,100,809
637523.095040,637523.095016,1673972019.891895,3726695.500,20682,2,PG,1,100,824
637523.134773,637523.134748,1673972019.931626,3726734.000,20682,2,PG,1,100,810
637523.174677,637523.174652,1673972019.971529,3726772.667,20699,3,PG,1,100,813
637523.214581,637523.214556,1673972020.011433,3726811.333,20699,3,PG,1,100,811
637523.254485,637523.254461,1673972020.051336,3726850.000,20699,3,PG,1,100,814
637523.294734,637523.294709,1673972020.091583,3726889.000,20715,2,PG,1,100,812
637523.334982,637523.334957,1673972020.131830,3726928.000,20715,2,PG,1,100,816
637523.374198,637523.374174,1673972020.171045,3726966.000,20732,3,PG,1,100,807
637523.413415,637523.413390,1673972020.210260,3727004.000,20732,3,PG,1,100,811
637523.452631,637523.452606,1673972020.249476,3727042.000,20732,3,PG,1,100,816
637523.493223,637523.493198,1673972020.290067,3727081.333,20750,3,PG,1,100,812
637523.533815,637523.533791,1673972020.330658,3727120.667,20750,3,PG,1,100,806
637523.574408,637523.574383,1673972020.371249,3727160.000,20750,3,PG,1,100,810
637523.614140,637523.614115,1673972020.410980,3727198.500,20767,2,PG,1,100,814
637523.653872,637523.653848,1673972020.450711,3727237.000,20767,2,PG,1,100,807
637523.694121,637523.694096,1673972020.490958,3727276.000,20786,3,PG,1,100,806
637523.734369,637523.734344,1673972020.531206,3727315.000,20786,3,PG,1,100,803
637523.774617,637523.774592,1673972020.571453,3727354.000,20786,3,PG,1,100,822
637523.814349,637523.814325,1673972020.611184,3727392.500,20803,2,PG,1,100,812
637523.854082,637523.854057,1673972020.650915,3727431.000,20803,2,PG,1,100,813
637523.893986,637523.893961,1673972020.690818,3727469.667,20820,3,PG,1,100,807
637523.933890,637523.933866,1673972020.730721,3727508.333,20820,3,PG,1,100,816
637523.973795,637523.973770,1673972020.770625,3727547.000,20820,3,PG,1,100,814
637524.013011,637524.012986,1673972020.809840,3727585.000,20838,3,PG,1,100,814
