LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
637440.053013,637440.052990,1673971936.852229,3646229.000,7086,1,EA,1,100,0.030319
637440.121126,637440.121102,1673971936.920340,3646295.000,7104,2,EA,1,100,0.030319
637440.189238,637440.189215,1673971936.988450,3646361.000,7104,2,EA,1,100,0.030319
637440.255287,637440.255263,1673971937.054497,3646425.000,7120,1,EA,1,100,0.030319
637440.321851,637440.321828,1673971937.121059,3646489.500,7138,2,EA,1,100,0.030319
637440.388416,637440.388392,1673971937.187622,3646554.000,7138,2,EA,1,100,0.030319
637440.455496,637440.455473,1673971937.254700,3646619.000,7154,1,EA,1,100,0.030319
637440.521545,637440.521521,1673971937.320747,3646683.000,7172,2,EA,1,100,0.030319
637440.587593,637440.587570,1673971937.386794,3646747.000,7172,2,EA,1,100,0.030319
637440.653642,637440.653618,1673971937.452840,3646811.000,7188,2,EA,1,100,0.030319
637440.719690,637440.719667,1673971937.518887,3646875.000,7188,2,EA,1,100,0.030319
637440.786771,637440.786747,1673971937.585965,3646940.000,7205,1,EA,1,100,0.030319
637440.852303,637440.852280,1673971937.651496,3647003.500,7225,2,EA,1,100,0.030319
637440.917836,637440.917812,1673971937.717027,3647067.000,7225,2,EA,1,100,0.030319
637440.985948,637440.985925,1673971937.785137,3647133.000,7242,1,EA,1,100,0.030319
637441.053545,637441.053521,1673971937.852732,3647198.500,7258,2,EA,1,100,0.030319
637441.121141,637441.121118,1673971937.920326,3647264.000,7258,2,EA,1,100,0.030318
637441.187190,637441.187166,1673971937.986373,3647328.000,7276,1,EA,1,100,0.030319
637441.253754,637441.253731,1673971938.052936,3647392.500,7293,2,EA,1,100,0.030318
637441.320319,637441.320295,1673971938.119498,3647457.000,7293,2,EA,1,100,0.030319
637441.386367,637441.386344,1673971938.185545,3647521.000,7310,2,EA,1,100,0.030319
637441.452416,637441.452392,1673971938.251591,3647585.000,7310,2,EA,1,100,0.030319
637441.519496,637441.519473,1673971938.318670,3647650.000,7327,1,EA,1,100,0.030319
637441.586576,637441.586553,1673971938.385749,3647715.000,7344,2,EA,1,100,0.030319
637441.653657,637441.653634,1673971938.452827,3647780.000,7344,2,EA,1,100,0.030319
637441.720737,637441.720714,1673971938.519906,3647845.000,7360,1,EA,1,100,0.030319
637441.787302,637441.787278,1673971938.586468,3647909.500,7380,2,EA,1,100,0.030319
637441.853866,637441.853843,1673971938.653031,3647974.000,7380,2,EA,1,100,0.030319
637441.920431,637441.920407,1673971938.719594,3648038.500,7397,2,EA,1,100,0.030319
637441.986995,637441.986972,1673971938.786156,3648103.000,7397,2,EA,1,100,0.030319
637442.054076,637442.054052,1673971938.853235,3648168.000,7414,1,EA,1,100,0.030319
637442.119092,637442.119069,1673971938.918249,3648231.000,7431,2,EA,1,100,0.030319
637442.184109,637442.184085,1673971938.983264,3648294.000,7431,2,EA,1,100,0.030319
637442.251189,637442.251166,1673971939.050342,3648359.000,7448,1,EA,1,100,0.030319
637442.317754,637442.317730,1673971939.116905,3648423.500,7465,2,EA,1,100,0.030319
637442.384318,637442.384295,1673971939.183468,3648488.000,7465,2,EA,1,100,0.030319
637442.453463,637442.453439,1673971939.252610,3648555.000,7482,1,EA,1,100,0.030319
637442.520543,637442.520520,1673971939.319689,3648620.000,7499,2,EA,1,100,0.030319
637442.587624,637442.587600,1673971939.386767,3648685.000,7499,2,EA,1,100,0.030319
637442.654188,637442.654165,1673971939.453330,3648749.500,7516,2,EA,1,100,0.030319
637442.720753,637442.720729,1673971939.519892,3648814.000,7516,2,EA,1,100,0.030319
637442.784737,637442.784714,1673971939.583875,3648876.000,7532,1,EA,1,100,0.030319
637442.851474,637442.851450,1673971939.650610,3648940.667,7555,3,EA,1,100,0.030319
637442.918210,637442.918187,1673971939.717344,3649005.333,7555,3,EA,1,100,0.030319
637442.984947,637442.984923,1673971939.784079,3649070.000,7555,3,EA,1,100,0.030319
637443.052027,637443.052004,1673971939.851157,3649135.000,7575,2,EA,1,100,0.030319
637443.119108,637443.119084,1673971939.918236,3649200.000,7575,2,EA,1,100,0.030319
637443.186188,637443.186165,1673971939.985315,3649265.000,7592,1,EA,1,100,0.030319
637443.253784,637443.253761,1673971940.052909,3649330.500,7611,2,EA,1,100,0.030319
637443.321381,637443.321358,1673971940.120504,3649396.000,7611,2,EA,1,100,0.030319
637443.388461,637443.388438,1673971940.187582,3649461.000,7626,2,EA,1,100,0.030319
637443.455542,637443.455518,1673971940.254661,3649526.000,7626,2,EA,1,100,0.030319
637443.522622,637443.522599,1673971940.321739,3649591.000,7644,1,EA,1,100,0.030319
637443.588155,637443.588131,1673971940.387270,3649654.500,7660,2,EA,1,100,0.030319
637443.653687,637443.653664,1673971940.452801,3649718.000,7660,2,EA,1,100,0.030319
637443.720252,637443.720228,1673971940.519363,3649782.500,7677,2,EA,1,100,0.030319
637443.786816,637443.786793,1673971940.585926,3649847.000,7677,2,EA,1,100,0.030319
637443.851833,637443.851809,1673971940.650940,3649910.000,7697,1,EA,1,100,0.030319
637443.919945,637443.919922,1673971940.719051,3649976.000,7714,2,EA,1,100,0.030319
637443.988058,637443.988034,1673971940.787162,3650042.000,7714,2,EA,1,100,0.030319
637444.055138,637444.055115,1673971940.854240,3650107.000,7730,1,EA,1,100,0.030319
637444.121703,637444.121679,1673971940.920803,3650171.500,7748,2,EA,1,100,0.030319
637444.188267,637444.188244,1673971940.987365,3650236.000,7748,2,EA,1,100,0.030319
637444.254316,637444.254292,1673971941.053412,3650300.000,7764,1,EA,1,100,0.030319
637444.320880,637444.320857,1673971941.119975,3650364.500,7782,2,EA,1,100,0.030319
637444.387445,637444.387421,1673971941.186537,3650429.000,7782,2,EA,1,100,0.030319
637444.452977,637444.452954,1673971941.252068,3650492.500,7799,2,EA,1,100,0.030319
637444.518510,637444.518486,1673971941.317598,3650556.000,7799,2,EA,1,100,0.030319
637444.585590,637444.585567,1673971941.384677,3650621.000,7816,1,EA,1,100,0.030319
637444.653187,637444.653163,1673971941.452271,3650686.500,7832,2,EA,1,100,0.030319
637444.720783,637444.720760,1673971941.519866,3650752.000,7832,2,EA,1,100,0.030319
637444.787864,637444.787840,1673971941.586945,3650817.000,7849,1,EA,1,100,0.030319
637444.854428,637444.854405,1673971941.653507,3650881.500,7869,2,EA,1,100,0.030319
637444.920993,637444.920969,1673971941.720070,3650946.000,7869,2,EA,1,100,0.030319
637444.988073,637444.988050,1673971941.787148,3651011.000,7886,1,EA,1,100,0.030319
637445.054121,637445.054098,1673971941.853195,3651075.000,7902,2,EA,1,100,0.030319
637445.120170,637445.120146,1673971941.919242,3651139.000,7902,2,EA,1,100,0.030319
637445.186218,637445.186195,1673971941.985288,3651203.000,7920,1,EA,1,100,0.030319
637445.253299,637445.253275,1673971942.052367,3651268.000,7935,2,EA,1,100,0.030319
637445.320379,637445.320356,1673971942.119445,3651333.000,7935,2,EA,1,100,0.030319
637445.387460,637445.387436,1673971942.186524,3651398.000,7954,2,EA,1,100,0.030319
637445.454540,637445.454517,1673971942.253603,3651463.000,7954,2,EA,1,100,0.030319
637445.520589,637445.520565,1673971942.319649,3651527.000,7971,1,EA,1,100,0.030319
