LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
637425.959920,637425.959897,1673971922.759536,3632573,4757,4,TX,1,100,637425.7937177,637425.7937236,
637426.378915,637426.378892,1673971923.178519,3632979,4825,4,TX,1,100,637426.2950741,637426.2950800,
637426.906271,637426.906247,1673971923.705860,3633490,4909,4,TX,1,100,637426.7952464,637426.7952565,
637427.375834,637427.375811,1673971924.175410,3633945,4985,4,TX,1,100,637427.2956615,637427.2956716,
637427.976462,637427.976439,1673971924.776021,3634527,5089,4,TX,1,100,637427.7964182,637427.7964283,
637428.337665,637428.337642,1673971925.137214,3634877,5143,4,TX,1,100,637428.2968046,637428.2968147,
637428.920749,637428.920726,1673971925.720281,3635442,5244,4,TX,1,100,637428.7972721,637428.7972676,
637429.352128,637429.352105,1673971926.151648,3635860,5315,4,TX,1,100,637429.2974245,637429.2974200,
637429.857812,637429.857789,1673971926.657317,3636350,5398,4,TX,1,100,637429.7977678,637429.7977633,
637430.323247,637430.323224,1673971927.122740,3636801,5471,4,TX,1,100,637430.2983184,637430.2983139,
637430.833059,637430.833036,1673971927.632537,3637295,5555,4,TX,1,100,637430.7990317,637430.7990515,
637431.352159,637431.352135,1673971928.151622,3637798,5642,4,TX,1,100,637431.2997193,637431.2997391,
637431.876418,637431.876395,1673971928.675867,3638306,5725,4,TX,1,100,637431.8006378,637431.8006576,
637432.375910,637432.375887,1673971929.175344,3638790,5812,4,TX,1,100,637432.3011993,637432.3012191,
637432.913586,637432.913563,1673971929.713005,3639311,5904,4,TX,1,100,637432.8018654,637432.8018716,
637433.324325,637433.324302,1673971930.123732,3639709,5974,4,TX,1,100,637433.3024363,637433.3024425,
637433.904313,637433.904290,1673971930.703703,3640271,6058,4,TX,1,100,637433.8027429,637433.8027491,
637434.332596,637434.332573,1673971931.131974,3640686,6131,4,TX,1,100,637434.3033962,637434.3034024,
637435.136530,637435.136507,1673971931.935885,3641465,6266,4,TX,1,100,637434.8040212,637434.8040384,
637435.361508,637435.361484,1673971932.160856,3641683,6303,4,TX,1,100,637435.3050818,637435.3050990,
637435.879575,637435.879552,1673971932.678910,3642185,6386,4,TX,1,100,637435.8053439,637435.8053611,
637436.395579,637436.395556,1673971933.194899,3642685,6472,4,TX,1,100,637436.3052892,637436.3053064,
637436.909519,637436.909495,1673971933.708824,3643183,6559,4,TX,1,100,637436.8061640,637436.8061737,
637437.362570,637437.362547,1673971934.161862,3643622,6628,4,TX,1,100,637437.3066465,637437.3066563,
637437.903342,637437.903319,1673971934.702619,3644146,6720,4,TX,1,100,637437.8077114,637437.8077211,
637438.416250,637438.416226,1673971935.215512,3644643,6806,4,TX,1,100,637438.3082831,637438.3082929,
637438.926061,637438.926038,1673971935.725309,3645137,6892,4,TX,1,100,637438.8084412,637438.8084820,
637439.357440,637439.357417,1673971936.156676,3645555,6963,4,TX,1,100,637439.3088298,637439.3088706,
637439.857964,637439.857941,1673971936.657185,3646040,7046,4,TX,1,100,637439.8090013,637439.8090421,
637440.383256,637440.383232,1673971937.182462,3646549,7132,4,TX,1,100,637440.3096330,637440.3096738,
637440.921964,637440.921940,1673971937.721155,3647071,7219,4,TX,1,100,637440.8100299,637440.8100474,
637441.361599,637441.361575,1673971938.160777,3647497,7288,4,TX,1,100,637441.3104696,637441.3104871,
637441.862122,637441.862099,1673971938.661287,3647982,7374,4,TX,1,100,637441.8113582,637441.8113757,
637442.404958,637442.404935,1673971939.204107,3648508,7460,4,TX,1,100,637442.3120728,637442.3120903,
637443.136652,637443.136628,1673971939.935780,3649217,7569,4,TX,1,100,637442.8120092,637442.8120358,
637443.364725,637443.364702,1673971940.163847,3649438,7605,4,TX,1,100,637443.3122433,637443.3122699,
637443.881761,637443.881738,1673971940.680868,3649939,7691,4,TX,1,100,637443.8130997,637443.8131263,
637444.384349,637444.384325,1673971941.183441,3650426,7776,4,TX,1,100,637444.3137523,637444.3137789,
637444.908608,637444.908585,1673971941.707686,3650934,7863,4,TX,1,100,637444.8149372,637444.8149671,
637445.417388,637445.417365,1673971942.216451,3651427,7948,4,TX,1,100,637445.3154414,637445.3154713,
637445.949904,637445.949880,1673971942.748952,3651943,8036,4,TX,1,100,637445.8160863,637445.8161162,
637446.406051,637446.406028,1673971943.205086,3652385,8104,4,TX,1,100,637446.3168191,637446.3168490,
637447.119168,637447.119145,1673971943.918183,3653076,8225,4,TX,1,100,637446.8169466,637446.8169660,
637447.426707,637447.426683,1673971944.225713,3653374,8276,4,TX,1,100,637447.3178079,637447.3178273,
637447.870470,637447.870446,1673971944.669463,3653804,8344,4,TX,1,100,637447.8181018,637447.8181212,
637448.374089,637448.374066,1673971945.173069,3654292,8422,4,TX,1,100,637448.3181017,637448.3181211,
637448.894221,637448.894198,1673971945.693186,3654796,8509,4,TX,1,100,637448.8182653,637448.8182927,
637449.508266,637449.508242,1673971946.307212,3655391,8611,4,TX,1,100,637449.3185938,637449.3186212,
637449.919005,637449.918981,1673971946.717940,3655789,8682,4,TX,1,100,637449.8191123,637449.8191397,
637450.427784,637450.427761,1673971947.226705,3656282,8766,4,TX,1,100,637450.3195025,637450.3195299,
637450.910764,637450.910740,1673971947.709671,3656750,8835,4,TX,1,100,637450.8196366,637450.8196351,
637451.399935,637451.399912,1673971948.198828,3657224,8922,4,TX,1,100,637451.3197433,637451.3197417,
637451.858147,637451.858123,1673971948.657027,3657668,8990,4,TX,1,100,637451.8201993,637451.8201977,
637452.365894,637452.365871,1673971949.164760,3658160,9078,4,TX,1,100,637452.3207563,637452.3207548,
637452.879834,637452.879810,1673971949.678685,3658658,9164,4,TX,1,100,637452.8210626,637452.8210766,
637453.518647,637453.518623,1673971950.317479,3659277,9266,4,TX,1,100,637453.3210763,637453.3210903,
637453.882945,637453.882922,1673971950.681768,3659630,9325,4,TX,1,100,637453.8218269,637453.8218409,
637454.388629,637454.388605,1673971951.187437,3660120,9411,4,TX,1,100,637454.3227282,637454.3227422,
637454.899472,637454.899449,1673971951.698266,3660615,9480,4,TX,1,100,637454.8232636,637454.8232796,
637455.389676,637455.389652,1673971952.188456,3661090,9568,4,TX,1,100,637455.3240172,637455.3240332,
637455.925288,637455.925264,1673971952.724052,3661609,9655,4,TX,1,100,637455.8253155,637455.8253315,
637456.356667,637456.356643,1673971953.155419,3662027,9723,4,TX,1,100,637456.3261821,637456.3261981,
637456.866479,637456.866455,1673971953.665216,3662521,9808,4,TX,1,100,637456.8260353,637456.8260740,
637457.388674,637457.388651,1673971954.187397,3663027,9895,4,TX,1,100,637457.3266720,637457.3267107,
637457.926350,637457.926327,1673971954.725058,3663548,9983,4,TX,1,100,637457.8276441,637457.8276828,
637458.373210,637458.373186,1673971955.171904,3663981,10051,4,TX,1,100,637458.3280219,637458.3280606,
637458.903661,637458.903638,1673971955.702341,3664495,10142,4,TX,1,100,637458.8285917,637458.8286077,
637459.399025,637459.399001,1673971956.197691,3664975,10228,4,TX,1,100,637459.3290456,637459.3290616,
637459.922253,637459.922229,1673971956.720904,3665482,10315,4,TX,1,100,637459.8292339,637459.8292499,
637460.440320,637460.440297,1673971957.238956,3665984,10400,4,TX,1,100,637460.3292084,637460.3292244,
637460.960452,637460.960428,1673971957.759073,3666488,10487,4,TX,1,100,637460.8293037,637460.8293178,
