LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
637302.424501,637302.424480,1673971799.227629,3512869.000,50371,2,EL,1,100,26466.599609
637302.492613,637302.492592,1673971799.295739,3512935.000,50388,1,EL,1,100,26466.199219
637302.560210,637302.560189,1673971799.363334,3513000.500,50402,2,EL,1,100,26466.199219
637302.627806,637302.627785,1673971799.430929,3513066.000,50402,2,EL,1,100,26466.400391
637302.696951,637302.696930,1673971799.500071,3513133.000,50422,1,EL,1,100,26466.800781
637302.764031,637302.764010,1673971799.567150,3513198.000,50439,2,EL,1,100,26466.599609
637302.831112,637302.831091,1673971799.634228,3513263.000,50439,2,EL,1,100,26466.599609
637302.897160,637302.897139,1673971799.700275,3513327.000,50456,1,EL,1,100,26466.599609
637302.962693,637302.962672,1673971799.765805,3513390.500,50471,2,EL,1,100,26466.199219
637303.028225,637303.028204,1673971799.831336,3513454.000,50471,2,EL,1,100,26466.199219
637303.095306,637303.095285,1673971799.898415,3513519.000,50490,2,EL,1,100,26466.000000
637303.162386,637303.162365,1673971799.965493,3513584.000,50490,2,EL,1,100,26466.000000
637303.228435,637303.228414,1673971800.031540,3513648.000,50509,1,EL,1,100,26466.000000
637303.296031,637303.296010,1673971800.099134,3513713.500,50526,2,EL,1,100,26466.199219
637303.363628,637303.363606,1673971800.166729,3513779.000,50526,2,EL,1,100,26466.000000
637303.430708,637303.430687,1673971800.233808,3513844.000,50543,1,EL,1,100,26466.199219
637303.497273,637303.497251,1673971800.300370,3513908.500,50558,2,EL,1,100,26466.800781
637303.563837,637303.563816,1673971800.366933,3513973.000,50558,2,EL,1,100,26466.199219
637303.629886,637303.629864,1673971800.432979,3514037.000,50574,1,EL,1,100,26466.599609
637303.696966,637303.696945,1673971800.500058,3514102.000,50595,2,EL,1,100,26466.599609
637303.764047,637303.764025,1673971800.567137,3514167.000,50595,2,EL,1,100,26466.599609
637303.829579,637303.829558,1673971800.632667,3514230.500,50611,2,EL,1,100,26466.800781
637303.895112,637303.895090,1673971800.698198,3514294.000,50611,2,EL,1,100,26466.599609
637303.961934,637303.961913,1673971800.765018,3514358.750,50629,4,EL,1,100,26466.800781
637304.028757,637304.028735,1673971800.831839,3514423.500,50629,4,EL,1,100,26466.400391
637304.095579,637304.095558,1673971800.898659,3514488.250,50629,4,EL,1,100,26466.599609
637304.162402,637304.162380,1673971800.965480,3514553.000,50629,4,EL,1,100,26466.599609
637304.229138,637304.229117,1673971801.032215,3514617.667,50651,3,EL,1,100,26466.800781
637304.295874,637304.295853,1673971801.098949,3514682.333,50651,3,EL,1,100,26466.599609
637304.362611,637304.362590,1673971801.165684,3514747.000,50651,3,EL,1,100,26466.800781
637304.428315,637304.428294,1673971801.231386,3514810.667,50668,3,EL,1,100,26467.000000
637304.494020,637304.493999,1673971801.297089,3514874.333,50668,3,EL,1,100,26466.800781
637304.559724,637304.559703,1673971801.362792,3514938.000,50668,3,EL,1,100,26467.000000
637304.626805,637304.626784,1673971801.429870,3515003.000,50685,1,EL,1,100,26467.000000
637304.693369,637304.693348,1673971801.496433,3515067.500,50703,2,EL,1,100,26467.000000
637304.759934,637304.759913,1673971801.562995,3515132.000,50703,2,EL,1,100,26467.000000
637304.829078,637304.829057,1673971801.632138,3515199.000,50720,1,EL,1,100,26467.000000
637304.897191,637304.897170,1673971801.700248,3515265.000,50736,2,EL,1,100,26467.000000
637304.965303,637304.965282,1673971801.768359,3515331.000,50736,2,EL,1,100,26467.000000
637305.032900,637305.032878,1673971801.835954,3515396.500,50754,2,EL,1,100,26467.000000
