LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
640531.429151,640531.429129,1673975028.110288,297526.000,46783,3,MX,1,100,58
640531.469052,640531.469030,1673975028.150188,297564.667,46799,3,MX,1,100,57
640531.508953,640531.508931,1673975028.190087,297603.333,46799,3,MX,1,100,58
640531.548853,640531.548831,1673975028.229987,297642.000,46799,3,MX,1,100,57
640531.589098,640531.589076,1673975028.270230,297681.000,46815,2,MX,1,100,58
640531.629343,640531.629321,1673975028.310474,297720.000,46815,2,MX,1,100,58
640531.669243,640531.669221,1673975028.350374,297758.667,46831,3,MX,1,100,58
640531.709144,640531.709122,1673975028.390273,297797.333,46831,3,MX,1,100,58
640531.749045,640531.749023,1673975028.430172,297836.000,46831,3,MX,1,100,58
640531.788258,640531.788235,1673975028.469384,297874.000,46848,2,MX,1,100,58
640531.827470,640531.827448,1673975028.508596,297912.000,46848,2,MX,1,100,58
640531.867027,640531.867005,1673975028.548151,297950.333,46864,3,MX,1,100,58
640531.906584,640531.906561,1673975028.587707,297988.667,46864,3,MX,1,100,58
640531.946140,640531.946118,1673975028.627262,298027.000,46864,3,MX,1,100,58
640531.993608,640531.993586,1673975028.674729,298073.000,46882,2,MX,1,100,58
640532.041076,640532.041054,1673975028.722196,298119.000,46882,2,MX,1,100,57
640532.080633,640532.080611,1673975028.761751,298157.333,46896,3,MX,1,100,58
640532.120190,640532.120168,1673975028.801307,298195.667,46896,3,MX,1,100,58
640532.159747,640532.159724,1673975028.840862,298234.000,46896,3,MX,1,100,57
640532.199647,640532.199625,1673975028.880762,298272.667,46913,3,MX,1,100,58
640532.239548,640532.239526,1673975028.920661,298311.333,46913,3,MX,1,100,58
640532.279449,640532.279426,1673975028.960561,298350.000,46913,3,MX,1,100,58
640532.319177,640532.319155,1673975029.000288,298388.500,46932,2,MX,1,100,57
640532.358906,640532.358884,1673975029.040016,298427.000,46932,2,MX,1,100,58
640532.398463,640532.398441,1673975029.079571,298465.333,46949,3,MX,1,100,58
640532.438019,640532.437997,1673975029.119127,298503.667,46949,3,MX,1,100,57
640532.477576,640532.477554,1673975029.158683,298542.000,46949,3,MX,1,100,58
640532.518509,640532.518487,1673975029.199614,298581.667,46968,3,MX,1,100,58
640532.559441,640532.559419,1673975029.240546,298621.333,46968,3,MX,1,100,57
640532.600374,640532.600352,1673975029.281477,298661.000,46968,3,MX,1,100,59
640532.640103,640532.640080,1673975029.321204,298699.500,46985,2,MX,1,100,59
640532.679831,640532.679809,1673975029.360932,298738.000,46985,2,MX,1,100,57
640532.719388,640532.719366,1673975029.400487,298776.333,47000,3,MX,1,100,59
640532.758945,640532.758923,1673975029.440043,298814.667,47000,3,MX,1,100,57
640532.798501,640532.798479,1673975029.479599,298853.000,47000,3,MX,1,100,58
640532.838402,640532.838380,1673975029.519498,298891.667,47017,3,MX,1,100,58
640532.878303,640532.878281,1673975029.559398,298930.333,47017,3,MX,1,100,58
640532.918204,640532.918181,1673975029.599297,298969.000,47017,3,MX,1,100,58
640532.957932,640532.957910,1673975029.639025,299007.500,47034,2,MX,1,100,58
640532.997661,640532.997639,1673975029.678752,299046.000,47034,2,MX,1,100,58
640533.041689,640533.041667,1673975029.722779,299088.667,47051,3,MX,1,100,58
640533.085718,640533.085695,1673975029.766806,299131.333,47051,3,MX,1,100,56
640533.129746,640533.129724,1673975029.810833,299174.000,47051,3,MX,1,100,59
640533.169991,640533.169968,1673975029.851077,299213.000,47065,2,MX,1,100,57
