LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
640365.340504,640365.340492,1673974862.026478,136574.000,20252,1,SF,1,100,0.0000
640365.605706,640365.605694,1673974862.291672,136831.000,20303,1,SF,1,100,0.0000
640365.936950,640365.936938,1673974862.622907,137152.000,20353,1,SF,1,100,0.0000
640366.272323,640366.272310,1673974862.958269,137477.000,20405,1,SF,1,100,0.0000
640366.605631,640366.605619,1673974863.291568,137800.000,20460,1,SF,1,100,0.0000
640367.006014,640367.006001,1673974863.691939,138188.000,20527,1,SF,1,100,0.0000
640367.336226,640367.336214,1673974864.022142,138508.000,20576,1,SF,1,100,0.0000
640367.605556,640367.605543,1673974864.291463,138769.000,20629,1,SF,1,100,0.0000
640367.937832,640367.937820,1673974864.623730,139091.000,20680,1,SF,1,100,0.0000
640368.269076,640368.269064,1673974864.954965,139412.000,20728,1,SF,1,100,0.0000
640368.665331,640368.665319,1673974865.351208,139796.000,20796,1,SF,1,100,0.0000
640369.001736,640369.001723,1673974865.687603,140122.000,20846,1,SF,1,100,0.0000
640369.265906,640369.265893,1673974865.951765,140378.000,20897,1,SF,1,100,0.0000
640369.598182,640369.598169,1673974866.284032,140700.000,20947,1,SF,1,100,0.0000
640369.929426,640369.929414,1673974866.615266,141021.000,20998,1,SF,1,100,0.0000
640370.259639,640370.259626,1673974866.945469,141341.000,21047,1,SF,1,100,0.0000
640370.657958,640370.657945,1673974867.343776,141727.000,21117,1,SF,1,100,0.0000
640370.991266,640370.991254,1673974867.677075,142050.000,21167,1,SF,1,100,0.0000
640371.256468,640371.256455,1673974867.942269,142307.000,21216,1,SF,1,100,0.0000
640371.588744,640371.588732,1673974868.274536,142629.000,21265,1,SF,1,100,0.0000
640371.921021,640371.921008,1673974868.606803,142951.000,21322,1,SF,1,100,0.0000
640372.319340,640372.319327,1673974869.005110,143337.000,21390,1,SF,1,100,0.0000
640372.650584,640372.650571,1673974869.336345,143658.000,21440,1,SF,1,100,0.0000
640372.919914,640372.919901,1673974869.605667,143919.000,21491,1,SF,1,100,0.0000
640373.253222,640373.253209,1673974869.938965,144242.000,21539,1,SF,1,100,0.0000
640373.584466,640373.584454,1673974870.270200,144563.000,21591,1,SF,1,100,0.0000
640373.986913,640373.986900,1673974870.672635,144953.000,21658,1,SF,1,100,0.0000
640374.320221,640374.320208,1673974871.005933,145276.000,21708,1,SF,1,100,0.0000
640374.587487,640374.587474,1673974871.273191,145535.000,21757,1,SF,1,100,0.0000
640374.917699,640374.917687,1673974871.603394,145855.000,21809,1,SF,1,100,0.0000
640375.254103,640375.254091,1673974871.939788,146181.000,21861,1,SF,1,100,0.0000
640375.652422,640375.652409,1673974872.338096,146567.000,21928,1,SF,1,100,0.0000
640375.988826,640375.988813,1673974872.674490,146893.000,21976,1,SF,1,100,0.0000
640376.256092,640376.256079,1673974872.941748,147152.000,22027,1,SF,1,100,0.0000
640376.589400,640376.589387,1673974873.275046,147475.000,22078,1,SF,1,100,0.0000
640376.920645,640376.920632,1673974873.606281,147796.000,22129,1,SF,1,100,0.0000
640377.252921,640377.252908,1673974873.938548,148118.000,22184,1,SF,1,100,0.0000
640377.656400,640377.656387,1673974874.342015,148509.000,22251,1,SF,1,100,0.0000
640377.985580,640377.985567,1673974874.671185,148828.000,22303,1,SF,1,100,0.0000
640378.256974,640378.256961,1673974874.942571,149091.000,22353,1,SF,1,100,0.0000
640378.587186,640378.587173,1673974875.272774,149411.000,22402,1,SF,1,100,0.0000
640378.919462,640378.919450,1673974875.605041,149733.000,22452,1,SF,1,100,0.0000
640379.314686,640379.314673,1673974876.000252,150116.000,22518,1,SF,1,100,0.0000
640379.646962,640379.646949,1673974876.332519,150438.000,22573,1,SF,1,100,0.0000
640379.912164,640379.912151,1673974876.597713,150695.000,22621,1,SF,1,100,0.0000
640380.243408,640380.243395,1673974876.928948,151016.000,22672,1,SF,1,100,0.0000
640380.577749,640380.577735,1673974877.263278,151340.000,22720,1,SF,1,100,0.0000
640380.911057,640380.911044,1673974877.596577,151663.000,22771,1,SF,1,100,0.0000
640381.307312,640381.307299,1673974877.992821,152047.000,22839,1,SF,1,100,0.0000
640381.640620,640381.640607,1673974878.326119,152370.000,22891,1,SF,1,100,0.0000
640381.904790,640381.904777,1673974878.590281,152626.000,22940,1,SF,1,100,0.0000
640382.240162,640382.240149,1673974878.925644,152951.000,22988,1,SF,1,100,0.0000
640382.570375,640382.570362,1673974879.255847,153271.000,23047,1,SF,1,100,0.0000
640382.972821,640382.972808,1673974879.658282,153661.000,23114,1,SF,1,100,0.0000
640383.304066,640383.304052,1673974879.989516,153982.000,23162,1,SF,1,100,0.0000
640383.571331,640383.571318,1673974880.256774,154241.000,23213,1,SF,1,100,0.0000
640383.904640,640383.904626,1673974880.590073,154564.000,23263,1,SF,1,100,0.0000
640384.234852,640384.234839,1673974880.920276,154884.000,23315,1,SF,1,100,0.0000
640384.635235,640384.635222,1673974881.320647,155272.000,23383,1,SF,1,100,0.0000
640384.970607,640384.970594,1673974881.656009,155597.000,23432,1,SF,1,100,0.0000
640385.307011,640385.306998,1673974881.992403,155923.000,23481,1,SF,1,100,0.0000
640385.570149,640385.570136,1673974882.255534,156178.000,23534,1,SF,1,100,0.0000
640385.906553,640385.906540,1673974882.591928,156504.000,23585,1,SF,1,100,0.0000
640386.238830,640386.238816,1673974882.924195,156826.000,23633,1,SF,1,100,0.0000
640386.639212,640386.639199,1673974883.324566,157214.000,23700,1,SF,1,100,0.0000
640386.969425,640386.969411,1673974883.654769,157534.000,23754,1,SF,1,100,0.0000
640387.303765,640387.303752,1673974883.989099,157858.000,23802,1,SF,1,100,0.0000
640387.567935,640387.567922,1673974884.253261,158114.000,23853,1,SF,1,100,0.0000
640387.901243,640387.901230,1673974884.586560,158437.000,23892,1,SF,1,100,0.0000
640388.303690,640388.303676,1673974884.988995,158827.000,23957,1,SF,1,100,0.0000
640388.634934,640388.634921,1673974885.320230,159148.000,24011,1,SF,1,100,0.0000
