LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
640497.592686,640497.592666,1673974994.274809,264736.000,41385,1,TH,1,100,25.263
640497.725803,640497.725783,1673974994.407922,264865.000,41402,1,TH,1,100,25.280
640497.857888,640497.857868,1673974994.540003,264993.000,41419,1,TH,1,100,25.280
640497.991005,640497.990985,1673974994.673116,265122.000,41454,1,TH,1,100,25.337
640498.125154,640498.125134,1673974994.807261,265252.000,41470,1,TH,1,100,25.338
640498.260335,640498.260314,1673974994.942438,265383.000,41487,1,TH,1,100,25.278
640498.394484,640498.394463,1673974995.076582,265513.000,41504,1,TH,1,100,25.278
640498.527600,640498.527580,1673974995.209696,265642.000,41537,1,TH,1,100,25.296
640498.658654,640498.658633,1673974995.340745,265769.000,41555,1,TH,1,100,25.296
640498.790739,640498.790718,1673974995.472826,265897.000,41571,1,TH,1,100,25.291
640498.926951,640498.926931,1673974995.609035,266029.000,41593,1,TH,1,100,25.291
640499.061100,640499.061080,1673974995.743180,266159.000,41610,1,TH,1,100,25.294
640499.194217,640499.194197,1673974995.876293,266288.000,41627,1,TH,1,100,25.294
640499.326302,640499.326282,1673974996.008374,266416.000,41643,1,TH,1,100,25.356
640499.457355,640499.457335,1673974996.139423,266543.000,41677,1,TH,1,100,25.356
640499.590472,640499.590452,1673974996.272536,266672.000,41697,1,TH,1,100,25.258
640499.725653,640499.725632,1673974996.407713,266803.000,41714,1,TH,1,100,25.257
640499.859802,640499.859781,1673974996.541858,266933.000,41731,1,TH,1,100,25.205
640499.992919,640499.992898,1673974996.674971,267062.000,41763,1,TH,1,100,25.205
640500.122940,640500.122919,1673974996.804988,267188.000,41779,1,TH,1,100,25.358
640500.256057,640500.256036,1673974996.938102,267317.000,41796,1,TH,1,100,25.358
640500.390205,640500.390185,1673974997.072246,267447.000,41830,1,TH,1,100,25.322
640500.523322,640500.523302,1673974997.205359,267576.000,41846,1,TH,1,100,25.322
640500.654376,640500.654355,1673974997.336409,267703.000,41863,1,TH,1,100,25.247
640500.787492,640500.787472,1673974997.469522,267832.000,41880,1,TH,1,100,25.247
640500.920609,640500.920589,1673974997.602635,267961.000,41911,1,TH,1,100,25.306
640501.052694,640501.052674,1673974997.734716,268089.000,41932,1,TH,1,100,25.314
640501.188907,640501.188887,1673974997.870925,268221.000,41948,1,TH,1,100,25.275
640501.324088,640501.324067,1673974998.006101,268352.000,41965,1,TH,1,100,25.275
640501.457205,640501.457184,1673974998.139215,268481.000,41999,1,TH,1,100,25.371
640501.588258,640501.588237,1673974998.270264,268608.000,42015,1,TH,1,100,25.371
640501.721375,640501.721354,1673974998.403377,268737.000,42033,1,TH,1,100,25.298
640501.854492,640501.854471,1673974998.536490,268866.000,42064,1,TH,1,100,25.298
640501.986577,640501.986556,1673974998.668571,268994.000,42081,1,TH,1,100,25.257
640502.118662,640502.118641,1673974998.800652,269122.000,42098,1,TH,1,100,25.257
