LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
640573.061728,640573.061703,1673975069.741653,337871.000,53399,1,TL,1,100,2023-01-17_19-04-29-725767
640578.353384,640578.353359,1673975075.033154,342999.000,54246,1,TL,1,100,2023-01-17_19-04-29-919327
640578.382277,640578.382252,1673975075.062047,343027.000,54249,1,TL,1,100,2023-01-17_19-04-35-044712
640583.621306,640583.621280,1673975080.300923,348104.000,55077,1,TL,1,100,2023-01-17_19-04-35-245280
640583.645040,640583.645014,1673975080.324656,348127.000,55080,1,TL,1,100,2023-01-17_19-04-40-314656
640588.904706,640588.904680,1673975085.584169,353224.000,55920,1,TL,1,100,2023-01-17_19-04-40-463446
640588.930504,640588.930478,1673975085.609967,353249.000,55923,1,TL,1,100,2023-01-17_19-04-45-598669
640594.179851,640594.179825,1673975090.859161,358336.000,56735,1,TL,1,100,2023-01-17_19-04-45-791681
640594.250021,640594.249995,1673975090.929329,358404.000,56738,1,TL,1,100,2023-01-17_19-04-50-911498
640599.447773,640599.447747,1673975096.126929,363441.000,57566,1,TL,1,100,2023-01-17_19-04-51-022562
640599.473571,640599.473545,1673975096.152726,363466.000,57569,1,TL,1,100,2023-01-17_19-04-56-139731
640604.764195,640604.764168,1673975101.443196,368593.000,58412,1,TL,1,100,2023-01-17_19-04-56-335048
640604.796184,640604.796157,1673975101.475184,368624.000,58415,1,TL,1,100,2023-01-17_19-05-01-457181
640610.027989,640610.027962,1673975106.706837,373694.000,59241,1,TL,1,100,2023-01-17_19-05-01-664299
640610.117765,640610.117738,1673975106.796611,373781.000,59244,1,TL,1,100,2023-01-17_19-05-06-781210
640615.340283,640615.340256,1673975112.018976,378842.000,60091,1,TL,1,100,2023-01-17_19-05-06-883392
640615.439347,640615.439319,1673975112.118037,378938.000,60094,1,TL,1,100,2023-01-17_19-05-12-099039
640620.619556,640620.619528,1673975117.298095,383958.000,60920,1,TL,1,100,2023-01-17_19-05-12-206343
640620.661864,640620.661837,1673975117.340403,383999.000,60923,1,TL,1,100,2023-01-17_19-05-17-328572
